:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Fazlullah Khan\u00F7No\u00F71324
Waseem Iqbal\u00F7No\u00F71324
Abid Yahya\u00F7No\u00F71324
Fahim Arif\u00F7No\u00F71324
Zhiyuan Tan\u00F7No\u00F71324
Joseph M. Chuma\u00F7No\u00F71324
Jurica Babic\u00F7Yes\u00F71325
Arthur Carvalho\u00F7No\u00F71325
Wolfgang Ketter\u00F7No\u00F71325
Vedran Podobnik\u00F7No\u00F71325
Enzo Baccarelli\u00F7Yes\u00F71326
Michele Scarpiniti\u00F7No\u00F71326
Alireza Momenzadeh\u00F7No\u00F71326
Claudio Badii\u00F7Yes\u00F71327
Paolo Nesi\u00F7No\u00F71327
Irene Paoli\u00F7No\u00F71327
Shahriar Badsha\u00F7Yes\u00F71328
Ibrahim Khalil\u00F7No\u00F71328
Xun Yi\u00F7No\u00F71328
Mohammed Atiquzzaman\u00F7No\u00F71328
Shahriar Badsha\u00F7Yes\u00F71329
Xun Yi\u00F7No\u00F71329
Ibrahim Khalil\u00F7No\u00F71329
Dongxi Liu\u00F7No\u00F71329
Surya Nepal\u00F7No\u00F71329
Kwok-Yan Lam\u00F7No\u00F71329
Gyu Jin Bae\u00F7Yes\u00F71330
Chan Young Jang\u00F7No\u00F71330
Sung In Cho\u00F7No\u00F71330
Young Hwan Kim\u00F7No\u00F71330
Jeong-Hyeon Bae\u00F7Yes\u00F71331
Hyun-Kyung Lee\u00F7No\u00F71331
Won-Kyung Baek\u00F7Yes\u00F71332
Hyung-Sup Jung\u00F7No\u00F71332
Sung-Ho Chae\u00F7No\u00F71332
Mina Baghani\u00F7Yes\u00F71333
Saeedeh Parsaeefard\u00F7No\u00F71333
Tho Le-Ngoc\u00F7No\u00F71333
Mehdi Bagheri\u00F7Yes\u00F71334
Venera Nurmanova\u00F7No\u00F71334
Oveis Abedinia\u00F7No\u00F71334
Mohammad Salay Naderi\u00F7No\u00F71334
Mehdi Bagheri\u00F7Yes\u00F71335
Svyatoslav Nezhivenko\u00F7No\u00F71335
B. T. Phung\u00F7No\u00F71335
Trevor Blackburn\u00F7No\u00F71335
Mehdi Bagheri\u00F7Yes\u00F71336
Amin Zollanvari\u00F7No\u00F71336
Svyatoslav Nezhivenko\u00F7No\u00F71336
G. Bagyalakshmi\u00F7Yes\u00F71337
G. Rajkumar\u00F7No\u00F71337
Arunkumar N.\u00F7No\u00F71337
M. Easwaran\u00F7No\u00F71337
Kumaravelu Narasimhan\u00F7No\u00F71337
Elamaran Vellaiappan\u00F7No\u00F71337
Mario Solarte Sarasty\u00F7No\u00F71337
Ivan Hernandez\u00F7No\u00F71337
Gustavo Ramírez González\u00F7No\u00F71337
Xiaomei Bai\u00F7Yes\u00F71338
Anita Bai\u00F7Yes\u00F71339
Parag S. Deshpande\u00F7No\u00F71339
Meera M. Dhabu\u00F7No\u00F71339
Guochen Bai\u00F7Yes\u00F71340
Jifeng Huang\u00F7No\u00F71340
Huawei Liu\u00F7No\u00F71340
Luyi Bai\u00F7Yes\u00F71341
Zhiyi Jia\u00F7No\u00F71341
Jiemin Liu\u00F7No\u00F71341
Zhiquan Bai\u00F7Yes\u00F71342
Mengqi Li\u00F7No\u00F71342
Yanan Dong\u00F7No\u00F71342
Haijun Zhang\u00F7No\u00F71342
Piming Ma\u00F7No\u00F71342
Wenle Bai\u00F7Yes\u00F71343
Yaomin Li\u00F7No\u00F71343
Tong Yao\u00F7No\u00F71343
Haijun Zhang\u00F7No\u00F71343
Chaochao Bai\u00F7Yes\u00F71344
Mingqiang Li\u00F7No\u00F71344
Tong Zhao\u00F7No\u00F71344
Weiqiang Wang\u00F7No\u00F71344
Deen Bai\u00F7Yes\u00F71345
Qiquan Quan\u00F7No\u00F71345
Yinchao Wang\u00F7No\u00F71345
He Li 0005\u00F7No\u00F71345
Pengyue Zhao\u00F7No\u00F71345
Zongquan Deng\u00F7No\u00F71345
Fushi Bai\u00F7Yes\u00F71346
Kai-Alexander Saalbach\u00F7No\u00F71346
Liang Wang\u00F7No\u00F71346
Jens Twiefel\u00F7No\u00F71346
Zhi Bai\u00F7Yes\u00F71347
Sainan Wang\u00F7No\u00F71347
Yigang He\u00F7No\u00F71347
Mei Bai\u00F7Yes\u00F71348
Xite Wang\u00F7No\u00F71348
Guanyu Li\u00F7No\u00F71348
Bo Ning 0002\u00F7No\u00F71348
Lan Bai\u00F7Yes\u00F71349
Zhen Wang 0002\u00F7No\u00F71349
Yuan-Hai Shao\u00F7No\u00F71349
Chun-Na Li\u00F7No\u00F71349
Xiang Bai\u00F7Yes\u00F71350
Mingkun Yang\u00F7No\u00F71350
Pengyuan Lyu\u00F7No\u00F71350
Yongchao Xu\u00F7No\u00F71350
Jiebo Luo\u00F7No\u00F71350
Qing Bai\u00F7Yes\u00F71351
Xuan Zheng\u00F7No\u00F71351
Dong Wang\u00F7No\u00F71351
Yu Wang 0048\u00F7No\u00F71351
Xin Liu\u00F7No\u00F71351
Mingjiang Zhang\u00F7No\u00F71351
Hong-juan Zhang\u00F7No\u00F71351
Bao-quan Jin\u00F7No\u00F71351
Luyi Bai\u00F7Yes\u00F71352
Lin Zhu\u00F7No\u00F71352
Yuan Zhao\u00F7No\u00F71352
Sobia Baig\u00F7Yes\u00F71353
Muneeb Ahmad\u00F7No\u00F71353
Hafiz Muhammad Asif\u00F7No\u00F71353
Muhammad Naeem Shehzad\u00F7No\u00F71353
Mujtaba Hussain Jaffery\u00F7No\u00F71353
Sobia Baig\u00F7Yes\u00F71354
Hafiz Muhammad Asif\u00F7No\u00F71354
Tariq Umer\u00F7No\u00F71354
Shahid Mumtaz\u00F7No\u00F71354
Muhammad Shafiq\u00F7No\u00F71354
Jin-Ghoo Choi\u00F7No\u00F71354
Callum Bailey\u00F7Yes\u00F71355
Efrain Aguilera\u00F7No\u00F71355
David Espalin\u00F7No\u00F71355
Jose Motta\u00F7No\u00F71355
Alfonso Fernández\u00F7No\u00F71355
Mireya A. Perez\u00F7No\u00F71355
Christopher Dibiasio\u00F7No\u00F71355
Dariusz Pryputniewicz\u00F7No\u00F71355
Eric MacDonald\u00F7No\u00F71355
Ryan B. Wicker\u00F7No\u00F71355
Anupam Kumar Bairagi\u00F7Yes\u00F71356
Sarder Fakhrul Abedin\u00F7No\u00F71356
Nguyen H. Tran\u00F7No\u00F71356
Dusit Niyato\u00F7No\u00F71356
Choong Seon Hong\u00F7No\u00F71356
Garvita Bajaj\u00F7Yes\u00F71357
Rachit Agarwal 0002\u00F7No\u00F71357
Pushpendra Singh\u00F7No\u00F71357
Nikolaos Georgantas\u00F7No\u00F71357
Valérie Issarny\u00F7No\u00F71357
Ahmet Cihat Baktir\u00F7Yes\u00F71358
Can Tunca\u00F7No\u00F71358
Atay Ozgovde\u00F7No\u00F71358
Gülüstü Salur\u00F7No\u00F71358
Cem Ersoy\u00F7No\u00F71358
Abubakar Bala\u00F7Yes\u00F71359
Idris Ismail\u00F7No\u00F71359
Rosdiazli Ibrahim\u00F7No\u00F71359
Sadiq M. Sait\u00F7No\u00F71359
Rodney Petrus Balandong\u00F7Yes\u00F71360
Rana Fayyaz Ahmad\u00F7No\u00F71360
Mohamad Naufal Mohamad Saad\u00F7No\u00F71360
Aamir Saeed Malik\u00F7No\u00F71360
P. Balasubramanian\u00F7Yes\u00F71361
Douglas L. Maskell\u00F7No\u00F71361
Antonio Balderas\u00F7Yes\u00F71362
Luis de la Fuente Valentín\u00F7No\u00F71362
Miguel Ortega-Mier\u00F7No\u00F71362
Juan Manuel Dodero\u00F7No\u00F71362
Daniel Burgos\u00F7No\u00F71362
Eren Balevi\u00F7Yes\u00F71363
Richard D. Gitlin\u00F7No\u00F71363
Eren Balevi\u00F7Yes\u00F71364
Richard D. Gitlin\u00F7No\u00F71364
Muyiwa B. Balogun\u00F7Yes\u00F71365
Olutayo Oyeyemi Oyerinde\u00F7No\u00F71365
Fambirai Takawira\u00F7No\u00F71365
Soumya Banerjee\u00F7Yes\u00F71366
Vanga Odelu\u00F7No\u00F71366
Ashok Kumar Das\u00F7No\u00F71366
Samiran Chattopadhyay\u00F7No\u00F71366
Neeraj Kumar 0001\u00F7No\u00F71366
Youngho Park 0005\u00F7No\u00F71366
Sudeep Tanwar\u00F7No\u00F71366
Debdeep Banerjee\u00F7Yes\u00F71367
Kevin Yu\u00F7No\u00F71367
Debdeep Banerjee\u00F7Yes\u00F71368
Kevin Yu\u00F7No\u00F71368
Garima Aggarwal\u00F7No\u00F71368
Debdeep Banerjee\u00F7Yes\u00F71369
Kevin Yu\u00F7No\u00F71369
Garima Aggarwal\u00F7No\u00F71369
Debdeep Banerjee\u00F7Yes\u00F71370
Kevin Yu\u00F7No\u00F71370
Garima Aggarwal\u00F7No\u00F71370
Debdeep Banerjee\u00F7Yes\u00F71371
Kevin Yu\u00F7No\u00F71371
Garima Aggarwal\u00F7No\u00F71371
Heeseung Bang\u00F7Yes\u00F71372
Young Sam Lee\u00F7No\u00F71372
Vinay Bankey\u00F7Yes\u00F71373
Prabhat K. Upadhyay\u00F7No\u00F71373
Daniel Benevides da Costa\u00F7No\u00F71373
Petros S. Bithas\u00F7No\u00F71373
Athanasios G. Kanatas\u00F7No\u00F71373
Ugo Silva Dias\u00F7No\u00F71373
Sophia Bano\u00F7Yes\u00F71374
Tamas Suveges\u00F7No\u00F71374
Jianguo Zhang\u00F7No\u00F71374
Stephen J. McKenna\u00F7No\u00F71374
Jagdish Chand Bansal\u00F7Yes\u00F71375
Anshul Gopal\u00F7No\u00F71375
Atulya K. Nagar\u00F7No\u00F71375
Zhejing Bao\u00F7Yes\u00F71376
Canzhi Gui\u00F7No\u00F71376
Xiaogang Guo\u00F7No\u00F71376
Ke Bao\u00F7Yes\u00F71377
Fei Hu 0001\u00F7No\u00F71377
Sunil Kumar 0001\u00F7No\u00F71377
Jianrong Bao\u00F7Yes\u00F71378
Bin Jiang 0002\u00F7No\u00F71378
Chao Liu 0011\u00F7No\u00F71378
Yongtang Bao\u00F7Yes\u00F71379
Yue Qi\u00F7No\u00F71379
Jie Bao 0005\u00F7Yes\u00F71380
Xiaomeng Shi\u00F7No\u00F71380
Hao Zhang 0045\u00F7No\u00F71380
Yan Bao\u00F7Yes\u00F71381
Le Yi Wang\u00F7No\u00F71381
Caisheng Wang\u00F7No\u00F71381
Yang Wang\u00F7No\u00F71381
Dalal Bardou\u00F7Yes\u00F71382
Kun Zhang\u00F7No\u00F71382
Sayed Mohammad Ahmad\u00F7No\u00F71382
Buket D. Barkana\u00F7Yes\u00F71383
Nijo John\u00F7No\u00F71383
Inci Sariçiçek\u00F7No\u00F71383
Subhas Barman\u00F7Yes\u00F71384
Ashok Kumar Das\u00F7No\u00F71384
Debasis Samanta\u00F7No\u00F71384
Samiran Chattopadhyay\u00F7No\u00F71384
Joel J. P. C. Rodrigues\u00F7No\u00F71384
Youngho Park 0005\u00F7No\u00F71384
Konstantia Barmpatsalou\u00F7Yes\u00F71385
Tiago Cruz\u00F7No\u00F71385
Edmundo Monteiro\u00F7No\u00F71385
Paulo Simões 0001\u00F7No\u00F71385
Tarcio Andre dos Santos Barros\u00F7Yes\u00F71386
Pedro Jose Dos Santos Neto\u00F7No\u00F71386
Marcelo Vinicius De Paula\u00F7No\u00F71386
Adson Bezerra Moreira\u00F7No\u00F71386
Paulo Sergio Nascimento Filho\u00F7No\u00F71386
Ernesto Ruppert Filho\u00F7No\u00F71386
Michael Taynnan Barros\u00F7Yes\u00F71387
Walisson Silva\u00F7No\u00F71387
Carlos Danilo Miranda Regis\u00F7No\u00F71387
Ertugrul Basar\u00F7Yes\u00F71388
Miaowen Wen\u00F7No\u00F71388
Raed Mesleh\u00F7No\u00F71388
Marco Di Renzo\u00F7No\u00F71388
Yue Xiao\u00F7No\u00F71388
Harald Haas\u00F7No\u00F71388
Bokamoso Basutli\u00F7Yes\u00F71389
Joseph M. Chuma\u00F7No\u00F71389
Sangarapillai Lambotharan\u00F7No\u00F71389
Jordi Mongay Batalla\u00F7Yes\u00F71390
Antonio Cuadra Sánchez\u00F7No\u00F71390
Jaime Ruiz Alonso\u00F7No\u00F71390
Zbigniew Kopertowski\u00F7No\u00F71390
Lucas Guardalben\u00F7No\u00F71390
Narciso García\u00F7No\u00F71390
Shai Ophir\u00F7No\u00F71390
Ganbayar Batchuluun\u00F7Yes\u00F71391
Hyo Sik Yoon\u00F7No\u00F71391
Jin Kyu Kang\u00F7No\u00F71391
Kang Ryoung Park\u00F7No\u00F71391
Sarah S. Bawazir\u00F7Yes\u00F71392
Paschalis C. Sofotasios\u00F7No\u00F71392
Sami Muhaidat\u00F7No\u00F71392
Yousof Al-Hammadi\u00F7No\u00F71392
George K. Karagiannidis\u00F7No\u00F71392
Alexis Bazin\u00F7Yes\u00F71393
Bruno Jahan\u00F7No\u00F71393
Maryline Hélard\u00F7No\u00F71393
Alessandro Bazzi\u00F7Yes\u00F71394
Giammarco Cecchini\u00F7No\u00F71394
Alberto Zanella\u00F7No\u00F71394
Barbara M. Masini\u00F7No\u00F71394
Christopher Beach\u00F7Yes\u00F71395
Sammy Krachunov\u00F7No\u00F71395
James Pope\u00F7No\u00F71395
Xenofon Fafoutis\u00F7No\u00F71395
Robert J. Piechocki\u00F7No\u00F71395
Ian Craddock\u00F7No\u00F71395
Alexander J. Casson\u00F7No\u00F71395
Robert M. Beauchamp\u00F7Yes\u00F71396
Darmindra D. Arumugam\u00F7No\u00F71396
Mariko S. Burgin\u00F7No\u00F71396
Jack D. Bush\u00F7No\u00F71396
Ala Khazendar\u00F7No\u00F71396
Yonggyu Gim\u00F7No\u00F71396
Sultan Almorqi\u00F7No\u00F71396
Majed Almalki\u00F7No\u00F71396
Yasir A. Almutairi\u00F7No\u00F71396
Ali A. Alsama\u00F7No\u00F71396
Abdulrahman G. Alanezi\u00F7No\u00F71396
Donghyun Beck\u00F7Yes\u00F71397
Woojin Park\u00F7No\u00F71397
Jatin Bedi\u00F7Yes\u00F71398
Durga Toshniwal\u00F7No\u00F71398
Chinmaya Behera\u00F7Yes\u00F71399
Galiveeti Hemakumar Reddy\u00F7No\u00F71399
Pranju Chakrapani\u00F7No\u00F71399
Arup Kumar Goswami\u00F7No\u00F71399
Chandra Prakash Gupta\u00F7No\u00F71399
Girish Kumar Singh 0002\u00F7No\u00F71399
Jamal Beiranvand\u00F7Yes\u00F71400
Hamid Meghdadi\u00F7No\u00F71400
Khagendra Belbase\u00F7Yes\u00F71401
Zhang Zhang\u00F7No\u00F71401
Hai Jiang 0001\u00F7No\u00F71401
Chintha Tellambura\u00F7No\u00F71401
Gleb Beliakov\u00F7Yes\u00F71402
Gita Das\u00F7No\u00F71402
Huy Quan Vu\u00F7No\u00F71402
Tim Wilkin\u00F7No\u00F71402
Yong Xiang 0001\u00F7No\u00F71402
Paolo Bellavista\u00F7Yes\u00F71403
Antonio Corradi\u00F7No\u00F71403
Luca Foschini\u00F7No\u00F71403
Stefano Monti\u00F7No\u00F71403
Paolo Bellavista\u00F7Yes\u00F71404
Carlo Giannelli\u00F7No\u00F71404
Thomas Lagkas\u00F7No\u00F71404
Panagiotis G. Sarigiannidis\u00F7No\u00F71404
Miguel Angel Olmos Bello\u00F7Yes\u00F71405
Eduardo López Domínguez\u00F7No\u00F71405
Saúl E. Pomares Hernández\u00F7No\u00F71405
Jose Roberto Perez Cruz\u00F7No\u00F71405
Stefano Belloro\u00F7Yes\u00F71406
Alexios Mylonas\u00F7No\u00F71406
Mohammed S. BenSaleh\u00F7Yes\u00F71407
Yaman Sharaf-Dabbagh\u00F7No\u00F71407
Hazem M. Hajj\u00F7No\u00F71407
Mazen A. R. Saghir\u00F7No\u00F71407
Haitham Akkary\u00F7No\u00F71407
Hassan Artail\u00F7No\u00F71407
Abdulfattah Mohammad Obeid\u00F7No\u00F71407
Syed Manzoor Qasim\u00F7No\u00F71407
Abdelkrim Benali\u00F7Yes\u00F71408
Mounir Khiat\u00F7No\u00F71408
Allaoui Tayeb\u00F7No\u00F71408
Mouloud Denai\u00F7No\u00F71408
A. M. Benaya\u00F7Yes\u00F71409
Maha Elsabrouty\u00F7No\u00F71409
Osamu Muta\u00F7No\u00F71409
Murilo E. C. Bento\u00F7Yes\u00F71410
Daniel Dotta\u00F7No\u00F71410
Roman Kuiava\u00F7No\u00F71410
Rodrigo A. Ramos\u00F7No\u00F71410
Gilberto Berardinelli\u00F7Yes\u00F71411
Gilberto Berardinelli\u00F7Yes\u00F71412
Nurul Huda Mahmood\u00F7No\u00F71412
Renato Abreu\u00F7No\u00F71412
Thomas Jacobsen\u00F7No\u00F71412
Klaus I. Pedersen\u00F7No\u00F71412
István Z. Kovács\u00F7No\u00F71412
Preben Mogensen\u00F7No\u00F71412
Markus Berg 0001\u00F7Yes\u00F71413
Jiangcheng Chen\u00F7No\u00F71413
Aarno Pärssinen\u00F7No\u00F71413
Francesco Beritelli\u00F7Yes\u00F71414
Giacomo Capizzi\u00F7No\u00F71414
Grazia Lo Sciuto\u00F7No\u00F71414
Christian Napoli\u00F7No\u00F71414
Francesco Scaglione\u00F7No\u00F71414
Hossein Mehrpour Bernety\u00F7Yes\u00F71415
Suresh Venkatesh\u00F7No\u00F71415
David Schurig\u00F7No\u00F71415
Julie Beugin\u00F7Yes\u00F71416
Cyril Legrand\u00F7No\u00F71416
Juliette Marais\u00F7No\u00F71416
Marion Berbineau\u00F7No\u00F71416
El-Miloudi El-Koursi\u00F7No\u00F71416
Moinak Bhaduri\u00F7Yes\u00F71417
Justin Zhan\u00F7No\u00F71417
Sushil Pratap Bharati\u00F7Yes\u00F71418
Feng Cen\u00F7No\u00F71418
Ajay Sharda\u00F7No\u00F71418
Guanghui Wang\u00F7No\u00F71418
Sachin Bhardwaj\u00F7Yes\u00F71419
Tanir Ozcelebi\u00F7No\u00F71419
Johan J. Lukkien\u00F7No\u00F71419
Keon Myung Lee\u00F7No\u00F71419
Arnab Bhattacharjee\u00F7Yes\u00F71420
Shaikh Anowarul Fattah\u00F7No\u00F71420
Wei-Ping Zhu\u00F7No\u00F71420
M. Omair Ahmad\u00F7No\u00F71420
Shafaan Khaliq Bhatti\u00F7Yes\u00F71421
M. Ikram Ullah Lali\u00F7No\u00F71421
Basit Shahzad\u00F7No\u00F71421
Farooq Javid\u00F7No\u00F71421
Fakhar Ullah Mangla\u00F7No\u00F71421
Muhammad Ramzan\u00F7No\u00F71421
Nan Bi\u00F7Yes\u00F71422
Jiahui Qin\u00F7No\u00F71422
Tao Jiang\u00F7No\u00F71422
Chongke Bi\u00F7Yes\u00F71423
Ye Yuan\u00F7No\u00F71423
Jiawan Zhang\u00F7No\u00F71423
Yun Shi\u00F7No\u00F71423
Yiqing Xiang\u00F7No\u00F71423
Yuehuan Wang\u00F7No\u00F71423
Ronghui Zhang\u00F7No\u00F71423
Xin Bian\u00F7Yes\u00F71424
Jie Tang 0004\u00F7No\u00F71424
Hong Wang\u00F7No\u00F71424
Mingqi Li\u00F7No\u00F71424
Rongfang Song\u00F7No\u00F71424
Simone Bianco\u00F7Yes\u00F71425
Rémi Cadène\u00F7No\u00F71425
Luigi Celona\u00F7No\u00F71425
Paolo Napoletano\u00F7No\u00F71425
Yuxia Bie\u00F7Yes\u00F71426
Ye Tian\u00F7No\u00F71426
Zhi Hu\u00F7No\u00F71426
Yueqiu Jiang\u00F7No\u00F71426
Adam Bielski\u00F7Yes\u00F71427
Tomasz Trzcinski\u00F7No\u00F71427
Bilgesu A. Bilgin\u00F7Yes\u00F71428
Ergin Dinc\u00F7No\u00F71428
Özgür B. Akan\u00F7No\u00F71428
Li Bin\u00F7Yes\u00F71429
Muhammad Shahzad\u00F7No\u00F71429
Qi Bing\u00F7No\u00F71429
Muhammad Umair Shoukat\u00F7No\u00F71429
Muhammad Shakeel\u00F7No\u00F71429
Elshiekh K. Mohammedsaeed\u00F7No\u00F71429
Naim Bitar\u00F7Yes\u00F71430
Mohamad Omar Al Kalaa\u00F7No\u00F71430
Seth J. Seidman\u00F7No\u00F71430
Hazem H. Refai\u00F7No\u00F71430
Emil Bjorlykhaug\u00F7Yes\u00F71431
Olav Egeland\u00F7No\u00F71431
Jamie Blanche\u00F7Yes\u00F71432
David Flynn\u00F7No\u00F71432
Helen Lewis\u00F7No\u00F71432
Gary D. Couples\u00F7No\u00F71432
Jim Buckman\u00F7No\u00F71432
Chris Bailey\u00F7No\u00F71432
Tim Tilford\u00F7No\u00F71432
Óscar Blanco-Novoa\u00F7Yes\u00F71433
Tiago M. Fernández-Caramés\u00F7No\u00F71433
Paula Fraga-Lamas\u00F7No\u00F71433
Miguel Vilar-Montesinos\u00F7No\u00F71433
Gabriel de Blasio\u00F7Yes\u00F71434
Alexis Quesada-Arencibia\u00F7No\u00F71434
Carmelo R. García\u00F7No\u00F71434
José Carlos Rodríguez-Rodríguez\u00F7No\u00F71434
Roberto Moreno-Díaz\u00F7No\u00F71434
Nils H. Van Der Blij\u00F7Yes\u00F71435
Laura Ramirez Elizondo\u00F7No\u00F71435
Matthijs T. J. Spaan\u00F7No\u00F71435
Pavol Bauer\u00F7No\u00F71435
Grzegorz J. Blinowski\u00F7Yes\u00F71436
Piotr Januszewski\u00F7No\u00F71436
Grzegorz Stepniak\u00F7No\u00F71436
Krzysztof Szczypiorski\u00F7No\u00F71436
Jesús Bobadilla\u00F7Yes\u00F71437
Rodolfo Bojorque\u00F7No\u00F71437
Antonio Hernando\u00F7No\u00F71437
Remigio Hurtado\u00F7No\u00F71437
Carsten Bockelmann\u00F7Yes\u00F71438
Nuno K. Pratas\u00F7No\u00F71438
Gerhard Wunder\u00F7No\u00F71438
Stephan Saur\u00F7No\u00F71438
Monica Navarro\u00F7No\u00F71438
David Gregoratti\u00F7No\u00F71438
Guillaume Vivier\u00F7No\u00F71438
Elisabeth de Carvalho\u00F7No\u00F71438
Yalei Ji\u00F7No\u00F71438
Cedomir Stefanovic\u00F7No\u00F71438
Petar Popovski\u00F7No\u00F71438
Qi Wang 0001\u00F7No\u00F71438
Malte Schellmann\u00F7No\u00F71438
Evangelos A. Kosmatos\u00F7No\u00F71438
Panagiotis Demestichas\u00F7No\u00F71438
Miruna Raceala-Motoc\u00F7No\u00F71438
Peter Jung 0001\u00F7No\u00F71438
Slawomir Stanczak\u00F7No\u00F71438
Armin Dekorsy\u00F7No\u00F71438
Borja Bordel\u00F7Yes\u00F71439
Ramón Alcarria\u00F7No\u00F71439
Diego Martín de Andrés\u00F7No\u00F71439
Ilsun You\u00F7No\u00F71439
Borja Bordel\u00F7Yes\u00F71440
Ramón Alcarria\u00F7No\u00F71440
Tomás Robles\u00F7No\u00F71440
Álvaro Sánchez-Picot\u00F7No\u00F71440
Borja Bordel\u00F7Yes\u00F71441
Amalia Beatriz Orúe López\u00F7No\u00F71441
Ramón Alcarria\u00F7No\u00F71441
Diego Sánchez de Rivera\u00F7No\u00F71441
Tamara Borreguero-Sanchidrián\u00F7Yes\u00F71442
Raul Pulido\u00F7No\u00F71442
Álvaro García-Sánchez\u00F7No\u00F71442
Miguel Ortega-Mier\u00F7No\u00F71442
Panagiotis Botsinis\u00F7Yes\u00F71443
Dimitrios Alanis\u00F7No\u00F71443
Chao Xu 0005\u00F7No\u00F71443
Zunaira Babar\u00F7No\u00F71443
Daryus Chandra\u00F7No\u00F71443
Soon Xin Ng\u00F7No\u00F71443
Lajos Hanzo\u00F7No\u00F71443
Panagiotis Botsinis\u00F7Yes\u00F71444
Ibrahim A. Hemadeh\u00F7No\u00F71444
Dimitrios Alanis\u00F7No\u00F71444
Zunaira Babar\u00F7No\u00F71444
Hung Viet Nguyen\u00F7No\u00F71444
Daryus Chandra\u00F7No\u00F71444
Soon Xin Ng\u00F7No\u00F71444
Mohammed El-Hajjar\u00F7No\u00F71444
Lajos Hanzo\u00F7No\u00F71444
Mondher Bouazizi\u00F7Yes\u00F71445
Tomoaki Ohtsuki\u00F7No\u00F71445
Sabrina Boubiche\u00F7Yes\u00F71446
Djallel Eddine Boubiche\u00F7No\u00F71446
Azeddine Bilami\u00F7No\u00F71446
Homero Toral-Cruz\u00F7No\u00F71446
Safdar Hussain Bouk\u00F7Yes\u00F71447
Syed Hassan Ahmed\u00F7No\u00F71447
Rasheed Hussain\u00F7No\u00F71447
Yongsoon Eun\u00F7No\u00F71447
Carlos Bousoño-Calzón\u00F7Yes\u00F71448
Harold Y. Molina-Bulla\u00F7No\u00F71448
José Joaquín Escudero Garzás\u00F7No\u00F71448
Francisco J. Herrera-Galvez\u00F7No\u00F71448
Abderraouf Boussif\u00F7Yes\u00F71449
Mohamed Ghazel\u00F7No\u00F71449
Klemen Bregar\u00F7Yes\u00F71450
Mihael Mohorcic\u00F7No\u00F71450
Jon Haël Brenas\u00F7Yes\u00F71451
Martin Strecker\u00F7No\u00F71451
Rachid Echahed\u00F7No\u00F71451
Arash Shaban-Nejad\u00F7No\u00F71451
Janez Brest\u00F7Yes\u00F71452
Borko Boskovic\u00F7No\u00F71452
Alexander Brown\u00F7Yes\u00F71453
Saurabh Garg\u00F7No\u00F71453
James Montgomery\u00F7No\u00F71453
Aidan F. Browne\u00F7Yes\u00F71454
James M. Conrad\u00F7No\u00F71454
Aidan F. Browne\u00F7Yes\u00F71455
Stacey Watson\u00F7No\u00F71455
Wesley B. Williams\u00F7No\u00F71455
Shakila Bu-Pasha\u00F7Yes\u00F71456
Fanyu Bu\u00F7Yes\u00F71457
Alessio Bucaioni\u00F7Yes\u00F71458
Lorenzo Addazi\u00F7No\u00F71458
Antonio Cicchetti\u00F7No\u00F71458
Federico Ciccozzi\u00F7No\u00F71458
Romina Eramo\u00F7No\u00F71458
Saad Mubeen\u00F7No\u00F71458
Mikael Sjödin\u00F7No\u00F71458
Ovidio Mario Bucci\u00F7Yes\u00F71459
Gennaro Bellizzi\u00F7No\u00F71459
Sandra Costanzo\u00F7No\u00F71459
Lorenzo Crocco\u00F7No\u00F71459
Giuseppe Di Massa\u00F7No\u00F71459
Rosa Scapaticci\u00F7No\u00F71459
Freddy Acosta Buenaño\u00F7Yes\u00F71460
Inmaculada Mora-Jiménez\u00F7No\u00F71460
Gonzalo F. Olmedo\u00F7No\u00F71460
José Luis Rojo-Álvarez\u00F7No\u00F71460
Mohammed D. Buhari\u00F7Yes\u00F71461
Gui Yun Tian\u00F7No\u00F71461
Rajesh Tiwari\u00F7No\u00F71461
Ali H. Muqaibel\u00F7No\u00F71461
Anh-Tuan H. Bui\u00F7Yes\u00F71462
Chuyen T. Nguyen\u00F7No\u00F71462
Truong C. Thang\u00F7No\u00F71462
Anh T. Pham\u00F7No\u00F71462
Utku Bulkan\u00F7Yes\u00F71463
Tasos Dagiuklas\u00F7No\u00F71463
Muddesar Iqbal\u00F7No\u00F71463
Kazi Mohammed Saidul Huq\u00F7No\u00F71463
Anwer Al-Dulaimi\u00F7No\u00F71463
Jonathan Rodriguez 0001\u00F7No\u00F71463
Loli Burgueño\u00F7Yes\u00F71464
Juan Boubeta-Puig\u00F7No\u00F71464
Antonio Vallecillo\u00F7No\u00F71464
Raymond H. Byrne\u00F7Yes\u00F71465
Tu A. Nguyen\u00F7No\u00F71465
David A. Copp\u00F7No\u00F71465
Babu Chalamala\u00F7No\u00F71465
Imre Gyuk\u00F7No\u00F71465
Deepak G. C.\u00F7Yes\u00F71466
Keivan Navaie\u00F7No\u00F71466
Qiang Ni\u00F7No\u00F71466
John-John Cabibihan\u00F7Yes\u00F71467
M. Khaleel Abubasha\u00F7No\u00F71467
Nitish V. Thakor\u00F7No\u00F71467
Guillermo Cabrera-Guerrero\u00F7Yes\u00F71468
Carolina Lagos\u00F7No\u00F71468
