:START_ID(Author);:END_ID(Articles)
Rong Song;6077
Feng Zhu;7027
Sabato Marco Siniscalchi;3240
Caiping Zhang;7537
Shaima Raji;15094
Serge Cosnier;14716
Jia Li;8131
Bo-Wei Chen;12628
Yutaka Sakaguchi;2416
Kishore Chatterjee;19844
Bo-Wei Chen;18035
Maryam Alibeik;4806
Qing Huang;10219
Yingwei Zhu;15821
Xinghao Chen;13018
Dezhan Qu;661
Xiuzhen Cheng;8480
Hossein Shokri Ghadikolaei;14390
Buwen Cao;3291
Jay G. Moore;8594
Joo Beom Eom;13366
Lukasz Kulacz;13493
Jhih-Hong Lin;1562
Zhijun He 0003;8857
Oleh Kiselychnyk;19645
Yinghua Ye;16893
Maria Pena Rodriguez;2182
Xiwang Cui;6079
Shitao Zhu;16061
Jacob Kongsted;5953
Jun Liu;3044
Eleni Demarchou;4403
Soonwan Cho;3774
Liya Zhu;7587
Vitor Vasconcelos;6596
Billy Sperlich;5805
Janne Nerg;6855
Hyun-Kyo Jung;2552
Peng Wei;13975
Cristina Castejón;18480
Zicheng Zhang;2222
Bei Wu;15841
Yair Yona;12588
Roberto Furlan;18150
Sayed Ali Khajehoddin;13414
Bernhard Schrenk;462
Le Yi Wang;3636
Shen Wang;14180
Rui Oliveira-Silva;11453
Jia Wu;5505
Yishu Mao;17820
Byung-Gil Choi;13019
Ho Jin Ju;2415
Jianfan He;18838
Ibon Elosegui;2551
Zhi Wang;3409
Seung-Hi Lee;12687
Chankil Lee;8737
Petr Lukas;16987
Claude Oestges;5094
Edward R. Dougherty;11579
Wenka Schweikert;7074
Shengbin Zhuang;13929
Amr El-Mougy;375
Feihu Yan;13089
Hyesu Jeon;4746
Arthur Edwards Block;10516
Zhu-Qiang Zhong;13173
Silvio Simani;9501
Anas F. Al Rawi;13430
Yaser M. M. Fouad;9110
Mark A. Reed;19098
Jeremy Childress;11405
Kai Liao;799
Diego Jaimes;5252
Amir Minoofar;12735
Feng Yin;12636
Ce Bian;3707
Marjan Slak Rupnik;4264
Jaehong Key;5030
Philip Mawby;1046
Luuc Van Der Horst;18458
Wanchun Dou;19278
Jens Klappstein;145
Nesrine Zoghlami;2034
Johny Montaña;14506
Zengmeng Zhang;9136
Jianhuan Zhang;2668
Jiandong Tian;14088
Edgar Martínez-García;348
Justin J. Leiterman;2624
Chongbin Xu;8896
Yongping Hu;2819
Mingyan Wang;3507
Aiping Huang;18423
Thomas Chretiennot;11318
Paolo Allasia;318
Lasheng Yu;1243
Ivan López-Arévalo;5928
Chao Deng;12807
Andrea Galli;11788
Kai Yang;17776
Hania Al Saddik;15318
Concepción Crespo-Turrado;8823
Pietro Manzoni;16267
Ubaid Ur Rehman;5965
Hector G. Flores-Rodriguez;2384
Jordi Mongay Batalla;17211
Li-Chiun Lin;13328
Xian Wu;6699
Pei-Chun Lin;10594
Jing Huey Khor;4288
Dingheng Pi;12340
Wen Deng;17563
Sandra Breum Andersen;759
Zhi Jie Jiang;14776
Davide Brunelli;7798
Fei Zhang 0004;19505
Changle Jing;843
Sid Chi-Kin Chau;12602
Christian Schneider;17337
Yesenia Hernández Velázquez;18028
Anton Umek;8420
Biji Jacob;12482
Pere Ridao;3415
Zhiwen Zeng;3178
Maciej Blaszak;3417
Jianwei Wang;645
Jianguo Zhou;19865
Xiang Yu;11590
Bo Fan 0002;14616
Songsong Xiong;12750
Wenbin Chen;8176
Yunmei Fang;18827
Zheng-Hua Tan;5990
Kyeong-seob Kim;2732
Jinghua Jiang;10118
Marcel A. M. Hendrix;543
Zhenyu Li 0002;2423
Miao-xin Wang;6450
Suleiman M. Sharkh;9701
Chia-Yin Liu;14380
Gilles Bertschy;10908
Matthias Heinze;6170
Zheng Chen;11490
Christine Bernardi;18454
Yongbo Li;5064
Paolo Giaccone;9489
Stavros G. Domouchtsidis;18413
Guido Faglia;19695
Nicola Cau;9456
David Muñoz de la Peña;16546
Huayan Jin;4550
Young-Rok Kim;5494
Shujing Li;19871
Ning Wang;636
Erik Aguirre;4740
Gaofeng Pan;10393
Chiara Perri;5645
Sunggon Kim;6164
Zachary J. Smith;10706
Anna Miodek;14017
Xinyi Shu;14573
Amsi Vazquez-Perez;17219
Yi-Yuan Chiu;17986
Abdullah Alzahrani;10110
Dermot Diamond;10673
Zhaocheng Yang;10449
Javier Ferreira;15940
Syed Jawad Hussain;9558
Akanksha Singh;11030
Stefan C. Mancas;10974
Manuel Aleixandre;10115
Changzhan Gu;10680
Jia Yan;14714
Raphaell Maciel de Sousa;418
Santanu Saha Ray;5737
Rasha Ragheb Atallah;19198
Mehdi Mahdavi;3942
Feda AlShahwan;17840
Sebastian Ortega;17544
Tao Yuan;4627
Sharul Kamal Abdul Rahim;18446
Quentin Bodinier;14585
José María Sierra Fernández;4723
Giovanni Maria Foglia;18702
Rajdeep Bondade;18843
Samir Kumar Bhowmik;10777
Huajun Li;12978
Jia-Horng Yang;12039
Mahdi Ben Ghorbel;1907
Zhiqiang Li;16935
Pablo Fondo-Ferreiro;5460
Myung Chan Gye;10635
Zhiqiang Long;19935
Enrique Valero;6997
Mehdi Taherzadeh;16180
Kazuaki Ito;6697
Jamshid Farifteh;9228
Bryan P. Tripp;3353
Shengchen Wu;18779
Mailson Borges Teles;12250
Anders Bentien;7308
Zhaolong Huang;15693
Xabiel G. Pañeda;4946
John Hong;2229
Suzhi Bi;5942
Ming Cai;6526
Hamed Tahanian;16131
Baohui Zhang;3971
V. Karthikeyan;14859
Guoyong Dai;5556
Saminathan Mohanapriya;4223
Benjamín Barán;11629
Youcef Ouerdane;14219
Mohamed Abdel-Maguid;12087
Radovan Hájovský;6363
Zixiao Zhang;3572
Anita J. Crompton;14297
Bruce Grieve;11613
Ling Jian;2930
Ya Gao 0002;1922
Slawomir Hausman;936
Hai Li;692
Xingjian Dong;17613
Aniqa Dilawari;17263
Chao Han;758
Andreas Leuenberger;14763
Nagesh Geddada;18887
Qianjin Feng;260
Zdenek Becvar;4824
Mario Paolone;5572
Ali Karimi;17265
Ian F. Akyildiz;10427
Muayad Kod;18387
Chen Cheng;17401
Javier Cervantes-Villanueva;3201
Anders Krogh Mortensen;6124
Xiangdong Liu;19004
Chao He;1309
Mummadi Veerachary;8939
Hongqing Chu;19557
Christian Garde;11919
Kwang-Ho Park;818
Mário M. Graça;11900
Xinhua Lu;2421
Manogna Thimma;19088
Emad E. Elmahdy;587
Ryo Shigeta;16814
Sachin Malik;5775
Haofeng Wang;4685
Michel Jamot;11452
Arno Ehresmann;5622
Hailun Wang;15571
Jiuling Liu;647
Essam El-Seidy;11061
Xicheng Tan;9207
Chen Qian 0003;7546
Mathieu De Craene;6275
Andreas Ettlinger;6283
Qiang He 0001;19623
Xiaomin Li;17291
Rong Duan;14727
Ajay Kapoor;14435
Yaojiang Chen;15836
Luting Feng;3414
Dawei Cheng;16179
Fariba Aalamifar;5057
Xinlei Ma;7816
Lu Yu;1316
Jiaxin Xie;512
K. Lakshmi Varaha Iyer;6304
Eui-Jik Kim;18496
Ubaid Ur Rehman;5596
Yancong Lin;6316
Guillermo Peris-Fajarnés;4938
Yihang Du;1171
Alberto Zanella;3819
Kanghyun Nam;3552
Sunilkumar Vadivelu;12890
Song Yu;7651
Alfredo Ursua;5231
Zongyi Guo;10470
Zhuoya Fang;283
Paolo Di Barba;15154
Hyo-Rim Choi;15298
Tore Undeland;1054
Mohammad Sadegh Asgari;7750
Triloki Nath;13135
Mi-Kyung Lee;13590
Yong-Eun Kim;5090
Yibo Lyu;12838
Manzoor Ilahi;12879
Lei Wang 0068;16539
Jiang Meng;12626
Chang-Soo Lee;2821
Marco Indaco;12616
Weilong Ding;17947
Daoshun Wang;4963
Seung Hee Kim;18731
Jennie J. Gallimore;11161
Giovanni Acampora;17039
Dejun Wang;9841
Kevin Yu;4104
Pedro Rodríguez Cielos;7799
Jovan Gligorijevic;8948
David Rodríguez-Navarro;7447
Jung Bin In;14176
Jana Rieger;19228
Annamaria Castrignanò;3320
Ying Jin;17741
Marco Degano;9751
Liping Huang;743
Stéphane Y. Le Goff;13193
Saeedeh Parsaeefard;8116
Pablo González de Santos;11575
Dong-Ho Lee;2122
Min Young Chung;5428
Qingbo Wu;15607
Zijun Zhuang;3461
James Zhenbin Zhang;4926
Khalil Hachicha;5221
Wing Hong Lau;2209
R. Badlishah Ahmad;16083
Adeel Akram;6247
Franklin Johnson;18471
Talko B. Dijkhuis;580
Kaushik Roy Chowdhury;19843
Yayu Peng;7300
Salim A. Messaoudi;8463
Juan José Pérez Solano;5779
Hajir Pourbabak;11943
Kang Gao;5965
Guandong Zhou;13026
Josep Lopez-Lopez;7510
Fotis D. Kanellos;10309
Fabio Bovenga;19082
Hui Huang;11858
Pablo F. Diez;4336
Muayad Kod;17190
Leandro Marín;12282
Yuying Jiang;331
Miguel Fernández-García 0001;5613
Alexander Cegan;17540
Jinhu Lu;14022
Shibin Liang;10854
René Osorio;7550
Nikolaos Papaioannou;2517
Nongliang Sun;5494
Sibin Mohan;18749
Gang Hua 0002;10634
Okan Erdogan;15085
Enzo de Santis;5531
Camila Silva;7467
Xiaochun Yuan;6743
Xinyu Wu;10011
Khalil El Khamlichi Drissi;14436
Jing Bi;14202
Sangjin Hong;15217
Kazuaki Sawada;17266
Fei Yuan;7446
Qiang Zhao;12408
Sanjeev K. Bhardwaj;10663
Minjae Kim;15375
Joanna Janczura;11018
Alexander S. Poznyak;19924
Carsten Müller;10673
Woon Hau Chin;10313
Gustav Erik Skands;17912
Mohd Fadzli Mohd Salleh;8775
Domenico M. Cavallo;14243
Felice Iavernaro;2574
Weitao Li;6779
Peixin Liang;6786
Lai Choon Kong;19236
Gyeongrak Choi;842
Fengjun Yan;17942
Chunhua Fang;5162
Martin Kuhlmann;3940
Linhui Fan;5436
Eloise G. Zimbelman;6204
Patrick J. Flynn;13793
Emilio Rebollo;16373
Joon-Ho Choi;6429
Todd A. Ell;9571
Oktay Ureten;4404
Mohammad A. U. Khan;6683
Yaxiong Wang;3839
Edson H. Watanabe;1522
Haozhe Liu;1565
Vladimir Dobrokhotov;9074
J. A. Mulder;542
Boojoong Kang;14626
Jikun Zhao;14837
Elisabeth Uhlemann;202
Tho Phuoc Huynh;13601
Zhihong Deng;13067
Liliana A. A. N. A. Truta;5719
Manuel Pineda-Sánchez;8171
Pablo Quintana Barcia;9075
Xiaofei Li;17300
Jewon Lee;7800
Cevdet Akyel;19245
Dongbin Zhao;5844
Yan Bai;11088
Timothy Kehoe;6976
Hugo Van hamme;10875
Sung Ung Moon;4195
Kazuhide Nakajo;9147
Ji-In Park;13121
Tianhua Chen;4430
Jae Seok Kim;5270
Seda Dogan;16130
Anestis Kalfas;10356
Virginia Saez-Martinez;13347
Lanhua Zhang;6419
Ilknur Babahan;4552
Te Han;3924
Min-Jhen Dai;11483
Qinghan Dong;14489
Dorian De Koning;12964
Rafael Rodríguez;13679
Xianqiang Jiang;18924
Jinling Wang;14700
Liang Xiao 0001;16015
Marco Virili;5926
Kris Steenhaut;3841
Aamir Farooq Malik;6462
Lars N. Nielsen;7140
Shengnan Wu;12506
Giuliano Langella;15903
Toan Dinh;12580
Ning Sun 0002;1297
Hao-ying Cheng;7328
John M. Colombi;15877
Olivier de la Barriere;11694
Nobutaka Oi;18610
Rijil Ramchand;6746
Wen Ding;11546
Chris M. Buonocore;17471
Tamer S. Abdelgayed;11524
Bo Zhang 0011;4032
Sen Qian;8134
Aleksandar Brkovic;11441
Lauri Juvela;15449
Zhong-Ben Zhu;12300
Jiandong Chen;19090
Alberto Alonso Arroyo;13258
Enric Climent;18907
Georgios Korres;13297
Fabio Antonelli;19694
Giulia Rigamonti;2778
Nesimi Ertugrul;12945
Bo He;12500
Lena Leprun;14135
Barbara Boazzo;7810
Junya Nakamura;2856
Stefano Ricci;10529
Langcai Cao;14639
Giorgos Aristomenopoulos;18071
Alexander Leonessa;8304
Mohsen Guizani;18296
Luca Peretti;15449
Khalil El Khamlichi Drissi;2824
Carlos Escobedo;10903
Lisheng Fan;6510
Nai Yue Chen;11822
William S. Chao;13475
Aiping Wu;4432
Seyed Mohammad Ghoreyshi;17727
Kui Li;8627
Hansong Guo;17114
Ramón Luna Molina;2693
Bruno M. F. da Silva;1038
Ryojun Ikeura;7197
Guangming Tao;2155
Heng Kong;12494
William S. Harwin;16900
Qingyi Gu;5977
John E. Fletcher;9788
Jisung Kim;9439
Athanasios Dasios;37
Pedro Albertos;3285
Sandra M. A. Cruz;17566
Yan Bai;94
Yiling Yang;3786
Naif H. Al-Hardan;11720
Jeffrey D. Brewster;19303
Jingli Gao;4769
Davide Brunelli;17249
Rami Alazrai;3057
Xianhua Wang;8289
Sohail Zafar;17616
Shuxin Ouyang;10343
Yajie Ren;8772
Petr Lukas;3140
Xinchuan Fu;6281
Khuram Shafi;16183
Frédérick Mailly;3548
Rebecca Glans;10200
Mohamed I. Daoud;7213
Jungbin Lee;8855
Vengadesh Periasamy;18297
Claudia Glenske;2073
Tokihiro Fukatsu;18588
Anqi Yu;16216
Jeffrey H. Reed;13044
Mudi Xiong;4697
Muhammad Imran Khalid;1542
Hongfei Zhang;7331
Tapani Ristaniemi;12989
Serge Gavin;1524
Hwai-Ting Lin;15672
Noha Anous;10196
Jan Dimon Bendtsen;11658
Guixin Hu;1252
Mark van der Meijde;3790
Lorenzo Corgnati;15860
Yupu Lu;4990
Chun Liu;2972
Dariusz Burnat;10065
Luye Mu;15311
Dong Guk Cho;16037
Qingwen Liu;14893
Ming Xu;9151
Abdul Hanif Bin Zaini;13880
Hakan Englund;12581
Jehad F. Al-Amri;1595
Dexuan Zou;11485
Longzhe Han;1936
Shamsodin Taheri;16211
Galymzhan Nauryzbayev;18805
Shuhai Quan;15173
Lijun Wang;13880
A. Luongo;5786
Guangjun Wen;1813
Hangyu Li;2683
Christoph Förste;5994
Jun Jin;14802
Yasunori Mitani;243
Tianqi Liu;11146
Sixing Du;9624
Enrico Ronchi;4847
Yangzhao Gong;3828
Gangyong Jia;2854
Patrick Marques Ciarelli;10991
Joongrock Kim;15182
Robert A. van de Geijn;12520
Sergey Golik;4318
Chengxiong Mao;15138
Atefeh Hajijamali Arani;6763
Kevin F. Goddard;18028
Biao Liu;19434
Xiaoya Hu;15082
Qingjuan Duan;18300
He Li 0005;3417
Vladislav Aleshin;7979
Ian F. Akyildiz;15999
Christof Zwyssig;1750
Jong-Ho Lee;19942
Arshad Ahmad 0003;11229
B. Brian Park;3744
João Paolo C. M. Oliveira;8183
Bocheng Zhu;12370
Michal Benes;16893
Hongjun Yin;3319
Siwei Cheng;18547
Jorge Rovira;4077
Xiangjuan Yu;11641
Guisheng Liao;5218
Irfan Azam;7177
Tsung-Hung Lin;9794
Peter Chovanec;9177
Klaus Mueller;2382
Eui-Nam Huh;8236
Nilson Maciel;7393
En Wang;6663
Victor Chang;13453
Feng Liu;12948
Y. Oner;3535
Yixuan Huang;18453
Stephan Winter 0001;10691
Zhicheng Zhou;19704
Xiaonan Yang;2159
Carlos D. Fuentes;18437
J. S. Siva Prasad;17287
Antonio Gómez;15045
Jin Lei;12898
Alex S. Weddell;14628
Fangming Hu;10675
Kumaravelu Narasimhan;5683
Bo Yang 0007;827
Kamal Al Dawoud;14603
Shuheng Chen;11900
Jinlin Zhu;13749
Van-Han Nguyen;11072
Lu Guo;18549
Ya-Qi Jing;8309
Max T. Hou;3454
Ray-Lee Lin;13912
Graham Ashby;13933
Hong-Man Hou;13415
Ziming Zhu;7022
Pedro Pedrosa Rebouças Filho;5556
In Soo Kim;17856
Jianfeng Qiu;12073
Bin Ouyang;8377
Donglin Zhang;17294
Ning Yang;7691
Mohan Rajesh Elara;17946
Peter Sakalaukus;7747
Jin Song;7657
Md Sakhawat Hossen;10795
Michael Höft;1696
Yihua Zhou;2034
Junhui Gong;15086
Mehedi Masud;14069
Jeongho Jeon;10429
Victor Manuel Arellano-Quintana;5037
Chaejeong Heo;7664
Saud Alotaibi;10686
Zhongze Wu;14735
Muhammad Shahzad Younis;8140
Liang Deng;268
Yanhong Tong;11966
Shinkook Choi;19279
Konstantinos N. Plataniotis;15851
Fuh-Cheng Jong;18228
Yalan Ye;6193
Mingjie Gao;19161
Yuping Duan;1345
Changqing Xia;13849
Richard W. Ziolkowski;8785
Ashraf Afifi;1909
AbdulMalik S. Al-Salman;19868
Emilio Gil;19803
Bingbo Gao;9746
Jie Yu 0005;183
Sebastian Topczewski;18661
Tiantian Zhang;2297
Huihui Wang;17811
Linyun Xiong;10749
Xiaodong Wang 0002;2803
Dinesh Babu Duraibabu;15840
Jingon Joung;16904
Lauren Deanes;7390
Yuzhen Huang;11443
Antonio Alarcón Paredes;8445
Xiaoping Li;12125
Yang Yu 0002;14023
Alireza Jalilian;7598
Julien Audiffren;3673
Ben Bellekens;624
Xuchu Dai;9780
Rongxin Fang;4657
Rabia Aktas;12825
Yin Chun Chan;2994
Edward Curry;7618
Shiwen Sun;4018
Fang Hao;269
Weifeng Cao;3940
Frederic Taillade;8636
Shanbin Li;19751
Mengwei Sun;11562
Mubashar Sarfraz;4264
Mauro Gaggero;13974
Yu-Lun Chuang;15139
Mehdi Abapour;8440
Mohammad Daisy;13887
Olayinka Olaolu Ogundile;18030
Jin Qian;10098
Giovanni Petrone;7087
Tamara Dimitrova;11487
Lin X. Cai;1518
Bo Zhang 0004;11642
Jinhao Chen;8769
Solomon Tadesse;10027
Juan P. Ucán;7516
Xinrong Lyu;18282
Yongjae Lee;6499
Pisitpol Chirapongsananurak;7197
Zhiyong Gu;19914
Oscar Dalmau Cedeño;3083
Marcelino Suzuki;6102
Jianyuan Feng;8539
Artur Lopes Ribeiro;3102
Robert E. Guinness;14208
Zhenhua Huang;13650
Guoxi Sun;18390
Salvador Ruiz-Correa;9921
Jiajia Chen;18011
Toni Fetzer;19284
Fuliang Yin;13157
Yi-Bin Lin;11146
Lei Chen 0007;8392
Ming Kong;14131
Hoang Thinh Do;7417
Sungwon Kang;13992
Ki-Hyun Kim;10097
Ji Young Lee;16153
Santiago Silvestre;4996
Rami Oweis;309
Guoping Gong;15465
Shangdi Chen;5754
Irfan Khan;17978
Alfredo Lamberti;6302
Noof A. Alenazi;9782
Lutz Damerow;8154
Miao Dai;16149
Abid Yahya;17507
Pengcheng Sang;3847
Corrado Di Natale;3956
Huaguang He;19701
Hripsime Matevosyan;5001
Luca Foschini;6271
Sunwoo Kim;7060
Georg Lauss;15050
Eduardo Munera;9139
Neeraj Priyadarshi;14615
Hui Hui;11981
Damiaan Lemmens;8970
Jianfang Xiao;15456
Loli Burgueño;10911
Lu Guo;16100
Liao Wu;8175
Prinolan Govender;4709
Mani Rathika;13359
Yan-Dong Yao;252
Stephen E. Fedigan;13260
Asmarani Ahmad Puzi;15646
YingYi Li;8601
Lorenzo Capineri;1785
Jawaad Ullah Khan;9538
Ruyan Wang;15825
Dechang Chen;376
Antonio-José Sánchez-Salmerón;15146
Arkadiusz Lewicki;4345
Javier Ribas;18649
Cristina Arrigoni;10659
Rong Zhu;16992
Haiwen Liu;12646
Rahul Deb Das;3523
Mayo Faulkner;1483
Douglas Cram;10348
Shuping Dang;6626
Guandong Zhou;12719
Jani Suomalainen;3293
Pagán Alexander Jr.;15102
Ioannis Karatzaferis;11513
Masoumeh Safkhani;250
Jianhui Yao;11157
José Rodríguez-Avi;12563
Nasim Alnuman;1637
Hyun-Lark Do;13673
Naoki Murata;15409
Gerhard Wunder;17578
Fumiyuki Adachi;18391
Francesco Bullo;11479
Zhipeng Lü;168
Peilin Liu;17076
Ronald Steinke;19623
B. S. Umesh;3389
Yuqi Yang;15560
Richard Sheridan;6395
Anitha Anandhan;2437
Paola Gabriela Vinueza Naranjo;18502
Sophia Bano;11743
Luis Alberto Morales-Hernández;15575
Rosario Schiano Lo Moriello;14357
Min Chan Kim;9449
Shoaib Ahmed Siddiqui;1936
René Gislum;13896
Tahiyah Nou Shene;11118
Hongzhi Yang;14003
Yong Wang;18672
Gustavo F. Lima;16851
Yining Feng;18737
Rüdiger Appunn;16585
Edouard Gayets;19164
Yali Gao;6058
Gunawan Witjaksono Bin Djaswadi;17473
Xue-Xiang Li;6619
Jaume Miret;10873
Damion K. Corrigan;6315
Kai Hu;5399
Chenguang Wang;16467
S. Y. Ron Hui;6672
Ali Anaissi;5778
Yang Wang;19103
Daoyun Hu;4311
Sapan Agarwal;6825
Hassan A. El-Morshedy;6345
Zhidong Miao;11247
Xueli Liu;17277
David Ortiz;2452
Mostafa Abarzadeh;15282
Shuo Liu;11564
Pengcheng Li;1994
Hang Hu 0001;8867
Depeng Zeng;11744
Konstantinos Mimis;16994
Yuehong Gao;13105
Ulrika Engstorm;12915
Jakub Spotak;11804
Young-Hwan Park;17780
Heewon Chung;19927
Yasar Khan;4046
Won-Sang Ra;19482
Pan Zhao;2454
A. V. Porubov;1952
Gang Mu;1091
Xiong Luo;3145
Albert-Miquel Sánchez;6698
Mark Kelly;1566
Shiai Zhu;4368
Man Kit Cheng;17531
Cecilia Moloney;11142
Manzoor Elahi;6845
Wufan Chen;8029
Palash Sarkar 0001;4672
David Laukamp;949
Weihong Cai;1341
Santiago Silvestre;19691
Nima Sammaknejad;18157
Reza Nasiri-Zarandi;18101
Chia-Yin Liu;956
Yaoming Li;13770
Ying-Kuen K. Cheung;5116
Mingjiang Guo;1862
Martin Richter;10709
Fernando Ramiro-Manzano;16685
Parnika N. Paranjape;18482
Ping Jack Soh;19256
Xueli Liu;6639
Yunxiang Xie;549
Linglong Dai;6082
Pierre Peloso;16532
Dehong Xu;10847
Miloslav Feistauer;15962
Mengshi Li;19079
Gerhard P. Hancke 0001;13036
Wei-Fan Chen;2679
Hye-Ung Shin;10298
Zihe Gao;7576
Geng Liu;15972
Álvaro Castro González;7438
Weisi Lin;8932
Shie Wu;18680
Youyun Xu;10499
David Vissière;9152
Rosemberg Silva;3303
Yaxi Lei;14820
Harald M. A. van der Werff;1287
Gennady Kaloshin;18766
Muzammal Naseer;6731
Fan Jin;9755
Shuai Wu;6716
Shibaji Panda;595
Xiang Peng;19351
Reimondas Sliteris;16261
Wei Mao;10449
James Janesick;2528
Carlos Ferreira;300
Frank L. Lewis;11296
Dan Liu;7507
Bong-Kyun Kim;19902
Shangjie Feng;10106
Guo-Fong Hong;15883
Jingxin Dong;9678
Xite Wang;1159
Mohamed Helaoui;4411
Shahriar Badsha;9203
Alireza Dehghani;1289
Dong Jiang;16231
Yong-Won Cho;4414
Nikolaos Georgantas;19454
Mauro Sgheiz;12368
Debojit Biswas;17813
Zengshu Huang;973
Binglei Guan;11654
Vasiliy Mironov;8527
Jian Xie;12686
Mengshu Hou;7913
Haekwan Oh;6623
Srikumar Mallik;2706
Dayoung Lee;3947
Zhao-Liang Li;5624
Wen-Chieh Lin;19094
Leo Yu Zhang;8925
Nanning Zheng;14823
Zhaoyang Lu;11542
Chao Chen 0004;9240
Yinjie Ding;11704
Jiawen Kang;16428
Peng Wang 0031;18349
Jing Wu;5493
Iván Amaya;1710
Abe A. Akhiyat;12210
Davood Ghayoor Najafabadi;9679
Fuh-Der Chou;8411
Qingzhong Cai;12930
Xiaofeng Zhang;4441
Yoney Kirsal Ever;19016
Shaharil Mad Saad;12488
Hong Wen;4182
Rosemberg Silva;19712
Gustavo M. Freitas;4890
Radim Baca;10101
Kathleen A. Clouse;2924
Khai D. T. Ngo;16072
Adeel Aslam;12119
Anita J. Crompton;18611
Elina Laitinen;11124
Mohammad Javad Shafiee;3601
Borja Millán;7323
Qin Mao;12230
Yong Li 0013;10208
Toshihiro Wada;6271
Mohamed A. Alrshah;12906
Enrico De Santis;2145
Liqing Zhang;13831
Kun Hao;9684
Jinlin Zhu;16808
Chun-Da Tu;6327
Muhammad Abdulhamid Al-Hashimi;1793
Sonia C. Gallegos;7354
Xiaoning Qian;17205
Hussein T. Mouftah;5445
Vladimir Boginski;368
Daniel R. Rousse;12452
Yun Meng;10162
Sang Min Yoon;9731
Xuezhe Wei;4895
Falko Dressler;7165
Ya Zhou;3434
Moinak Bhaduri;8728
Jagoba Perez;12134
Jian Gong;3948
Jingwei Deng;18133
Ehsan Adib;10248
Yu Qiu;8597
Haijun Zhang;12480
Mohammad Sharifzadeh;11679
Stephan Sylvest Keller;10166
Wiwat Vatanawood;14321
Dapeng Man;8836
Jie Guo;13716
Francisco Rodríguez-Ballester;7335
Michaël Sicard;17411
Thomas Lembrechts;9922
Chengyan Sang;7029
Sebyung Kang;8919
Ying He;13673
Suresh Lakhimsetty;19178
Jose G. de Matos;364
Zhong Zheng;2042
Jibo Wei;10403
Michele Perrelli;3582
Fernand Díaz-Franco;18652
Weizheng Yuan;16273
Zhan Ma;15565
Paloma Massó;14694
Ying Fan;16351
Dong Seop Kim;19540
Setia Budi;10579
Xiong Li;11395
Sergio Luiz Stevan Jr.;13903
Feng Jia;3321
María Inés Valla;17334
Daniel Bachmann;16116
Dezhan Tu;7566
Sungho Kim;11223
Abubakar Bala;9044
Han Xiao 0006;17352
María R. Valero;12707
Dohyeong Kim;5031
Chao Ding;920
Axel Rüter;5946
Karthikeyan Sundaresan;9288
Jesús Bobadilla;12735
Vasile Marinca;2054
Zhi-Hua Bao;5922
Juha Hyyppä;8115
Jian Li 0019;7487
Hitoshi Haga;3907
Francesco Barone;11327
Chan H. See;8039
Cho Hee Kim;10470
Emmanuel Moisan;111
Seung Hyun Cha;2665
Kanapathippillai Cumanan;19672
Yafei Xie;6462
Sideng Hu;19646
Silvia Soria;2991
Yun Lv;6070
Aitor Etxeberria;9753
Mei Kang;18567
Taeko Seki;16890
Qing-Ming Liu;11352
Yinchao Wang;5099
Yi-Shin Chen;16890
Jingwei Deng;6818
Margherita Fiani;16891
Jorge Blasco;1599
Hyo Seon Jeon;6963
Husnain Saeed;16636
Dan Gessler;17133
Casper Clausen;15183
Hsu-Yung Cheng;13894
Yue Leng;13470
Lianfang Cai;7839
Sami Myllymaa;10891
Thomas Lorünser;18494
Barry W. Williams;13730
Zhaoqi Wang;10154
Elyan Al Machot;449
Muhammad Mazhar Ullah Rathore;10493
Qijia Guo;14260
Michail Matthaiou;1989
Pietro Manzoni;14512
Massimo Vecchio;19275
Prashant Krishnamurthy;11621
Yan Gu;3167
Junho Ahn;17403
Mi-Ching Tsai;13651
Uta Heiden;419
Lal Hussain;137
Xi&apos;an Feng;10040
Kent Tsz Kan Cheung;7376
Shuaiqi Huo;7883
Jiandong Wu;8825
Paolo Giangrande;6078
Edoardo Pinci;7751
Haiyong Xie 0001;14581
Laura Contat-Rodrigo;11422
SunHo Bae;1649
Hazem H. Refai;15290
Justin Patton;7167
Chow-Yen-Desmond Sim;11375
Marcel Landolt;17186
Shinya Fukushima;2992
Monica Huerta;17542
Kai Xi;7820
Goffredo La Loggia;5389
Lucas Dias Hiera Sampaio;19224
Hua Zhang 0022;3288
Aidong Men;10354
Paolo Burghignoli;9365
Sebastian von Enzberg;17930
Weihang Shen;15228
Elena López-Aguilera;14763
Heng Qi;2952
Mehdi Bennis;5111
Fengli Gao;6469
Gustavo S. C. Avellar;8782
Hyunjeong Cho;1967
Cäcilia Oberndorfer;138
Xiaochen Zhang 0002;8093
Zhengzhao Shen;2383
Dag Nyholm;4338
Xinya Zhao;13800
Lucas Jun Sakai;4315
Tasneem Darwish;16251
Guangyan Zhang;17167
Maxime Hervo;765
Camille Guertin;12160
Hongwei Huang;15839
Teng Zhao;18842
Rosana Rodríguez-López;3015
Balbina Casas-Méndez;5854
Mathieu Chevrie;16643
M. Helena Vasconcelos;2194
Chiew Loon Goh;2116
Kwang-Ho Park;19296
Juanni Li;11459
Ju Min;4384
Jiguo Dai;18873
J. M. Hossain;15534
Jiadian Wang;10466
Xiaohui Du;19023
Yongtang Bao;13508
Laura Gastaldi;19651
Leilei Wang;1238
Bo Egardt;2068
