:START_ID(Author)	corresponding_author	:END_ID(Article)
Gerd Bramerdorfer	Yes	2103
Juan A. Tapia	No	2103
Juha J. Pyrhönen	No	2103
Andrea Cavagnino	No	2103
Gianluca Brando	Yes	2104
Luigi Piegari	No	2104
Ivan Spina	No	2104
Sebastian Bruske	Yes	2105
Giampaolo Buticchi	No	2105
Marco Liserre	No	2105
Feifei Bu	Yes	2106
Haozhe Liu	No	2106
Wenxin Huang	No	2106
Haijun Xu	No	2106
Kai Shi 0005	No	2106
Christoph Budelmann	Yes	2107
Giuseppe Buja	Yes	2108
Ming Cheng 0001	No	2108
Milutin G. Jovanovic	No	2108
Claudio Alberto Busada	Yes	2109
Sebastián Gomez Jorge	No	2109
Jorge A. Solsona	No	2109
Richu Sebastian C	Yes	2110
P. P. Rajeevan	No	2110
Xinbo Cai	Yes	2111
Can Wang 0003	No	2111
Ralph Kennel	No	2111
Hongda Cai	Yes	2112
Ji Xiang	No	2112
Wei Wei	No	2112
Runze Cai	Yes	2113
Ruixiang Zheng	No	2113
Ming Liu	No	2113
Mian Li	No	2113
James L. Cale	Yes	2114
Brian B. Johnson	No	2114
Emiliano Dall&apos;Anese	No	2114
Peter Michael Young	No	2114
Gerald P. Duggan	No	2114
Poorva A. Bedge	No	2114
Daniel Zimmerle	No	2114
Leah Holton	No	2114
Antonio Camacho	Yes	2115
Miguel Castilla	No	2115
Jaume Miret	No	2115
Luis García de Vicuña	No	2115
Garnica L. Miguel Andres	No	2115
Robert Camilleri	Yes	2116
Paul C. Beard	No	2116
David A. Howey	No	2116
Malcolm D. McCulloch	No	2116
Ruiwu Cao	Yes	2117
Yi Jin	No	2117
Minghang Lu	No	2117
Zheng Zhang	No	2117
Ningyuan Cao	Yes	2118
Justin Ting	No	2118
Shreyas Sen	No	2118
Arijit Raychowdhury	No	2118
Bliss G. Carkhuff	Yes	2119
Plamen A. Demirev	No	2119
Rengaswamy Srinivasan	No	2119
Miguel Castilla	Yes	2120
Antonio Camacho	No	2120
Pau Martí	No	2120
Manel Velasco	No	2120
Mohammad Moradi Ghahderijani	No	2120
Andrea Cavagnino	Yes	2121
Gerd Bramerdorfer	No	2121
Juan A. Tapia	No	2121
Gregor Cerne	Yes	2122
Dejan Dovzan	No	2122
Igor Skrjanc	No	2122
Kapil Chauhan	Yes	2123
Motakatla Venkateswara Reddy	No	2123
Ranjana Sodhi	No	2123
Ephrem Chemali	Yes	2124
Phillip J. Kollmeyer	No	2124
Matthias Preindl	No	2124
Ryan Ahmed	No	2124
Ali Emadi	No	2124
Cheng-I Chen	Yes	2125
Yeong-Chin Chen	No	2125
Jiawei Chen	Yes	2126
Jie Chen	No	2126
Zhu Chen	Yes	2127
Yanfeng Chen	No	2127
Bo Zhang 0011	No	2127
Zhiwen Chen	Yes	2128
Steven X. Ding	No	2128
Tao Peng 0010	No	2128
Chunhua Yang	No	2128
Weihua Gui	No	2128
Yann Qi Chen	Yes	2129
Olga Fink	No	2129
Giovanni Sansavini	No	2129
Jiann-Jong Chen	Yes	2130
Yuh-Shyan Hwang	No	2130
Hao-Hung Chai	No	2130
Yi-Tsen Ku	No	2130
Cheng-Chieh Yu	No	2130
Jiann-Jong Chen	Yes	2131
Yuh-Shyan Hwang	No	2131
Chih-Shiun Jheng	No	2131
Yi-Tsen Ku	No	2131
Cheng-Chieh Yu	No	2131
Fu-Chen Chen	Yes	2132
Mohammad R. Jahanshahi	No	2132
Guipeng Chen	Yes	2133
Zhufeng Jin	No	2133
Yan Deng	No	2133
Xiangning He	No	2133
Xinlin Qing	No	2133
Hung-Chi Chen	Yes	2134
Che-Yu Lu	No	2134
Guan-Ting Li	No	2134
Junhua Chen	Yes	2135
Jian Li 0016	No	2135
Ronghai Qu	No	2135
Junhua Chen	Yes	2136
Jian Li 0016	No	2136
Ronghai Qu	No	2136
Meng Ge	No	2136
Xia Chen 0003	Yes	2137
Mengxuan Shi	No	2137
Haishun Sun	No	2137
Yan Li	No	2137
Haibo He	No	2137
Nan Chen 0005	Yes	2138
Tingcun Wei	No	2138
Dong Sam Ha	No	2138
Hyun Jun Jung	No	2138
Soobum Lee	No	2138
Mingyi Chen	Yes	2139
Min Wang	No	2139
Hengwei Yu	No	2139
Guanghui He	No	2139
Yongxin Zhu 0001	No	2139
Yadong Liu	No	2139
Guoxing Wang	No	2139
Qian Chen	Yes	2140
Gaohong Xu	No	2140
Guohai Liu	No	2140
Wenxiang Zhao	No	2140
Lu Liu	No	2140
Zhipeng Lin	No	2140
Min Chen 0013	Yes	2141
Dehong Xu	No	2141
Tao Zhang	No	2141
Keyan Shi	No	2141
Guofeng He	No	2141
Kaushik Rajashekara	No	2141
Hao Chen 0025	Yes	2142
Wenju Yan	No	2142
Zhengyu Chen	Yes	2143
Zhanqing Yu	No	2143
Xiangyu Zhang 0004	No	2143
Tianyu Wei	No	2143
Gang Lyu	No	2143
Lu Qu	No	2143
Yulong Huang	No	2143
Rong Zeng	No	2143
Ming Cheng 0001	Yes	2144
Peng Han	No	2144
Giuseppe Buja	No	2144
Milutin G. Jovanovic	No	2144
Ming Cheng 0001	Yes	2145
Yunlei Jiang	No	2145
Peng Han	No	2145
Qingsong Wang	No	2145
Shuo Cheng	Yes	2146
Liang Li 0004	No	2146
Jie Chen	No	2146
Long Cheng 0001	Yes	2147
Weichuan Liu	No	2147
Chenguang Yang	No	2147
Tingwen Huang	No	2147
Zeng-Guang Hou	No	2147
Min Tan 0001	No	2147
Yeong-Jun Choi	Yes	2148
Tae-Jin Kim	No	2148
Rae-Young Kim	No	2148
Uimin Choi	Yes	2149
Ke Ma	No	2149
Frede Blaabjerg	No	2149
Woo-Young Choi	Yes	2150
Min-Kwon Yang	No	2150
Mao Chuan	Yes	2151
Changsheng Zhu	No	2151
Andrii Chub	Yes	2152
Dmitri Vinnikov	No	2152
Elizaveta Liivik	No	2152
Tanel Jalakas	No	2152
Lucio Ciabattoni	Yes	2153
Francesco Ferracuti	No	2153
Alessandro Freddi	No	2153
Andrea Monteriù	No	2153
Pablo Cossutta	Yes	2154
Miguel Pablo Aguirre	No	2154
Mathias Angelico Engelhardt	No	2154
María Inés Valla	No	2154
Omar Costilla-Reyes	Yes	2155
Patricia Scully	No	2155
Krikor B. Ozanyan	No	2155
Sergio Cruz	Yes	2156
Gil D. Marques	No	2156
P. F. C. Goncalves	No	2156
Matteo Felice Iacchetti	No	2156
Dongdong Cui	Yes	2157
Qiongxuan Ge	No	2157
Peiling Cui	Yes	2158
Qirui Wang	No	2158
Guoxi Zhang	No	2158
Qian Gao	No	2158
Yong Cui 0002	Yes	2159
Haiwen Yuan	No	2159
Xiao Song	No	2159
Luxing Zhao	No	2159
Yumeng Liu	No	2159
Liwei Lin	No	2159
Swapnil D. Dabhade	Yes	2160
G. N. Rathna	No	2160
Kunal Narayan Chaudhury	No	2160
Shi-Lu Dai	Yes	2161
Shude He	No	2161
Hai Lin 0002	No	2161
Cong Wang 0007	No	2161
Ankit Dalal	Yes	2162
Praveen Kumar	No	2162
Fardin Dalvand	Yes	2163
Myeongsu Kang	No	2163
Satar Dalvand	No	2163
Michael G. Pecht	No	2163
Sankar Das	Yes	2164
Debashis Chatterjee	No	2164
Swapan Kumar Goswami	No	2164
Santanu Das	Yes	2165
Arpan Kumar Pradhan	No	2165
Ayush Kedia	No	2165
Sovan Dalai	No	2165
Biswendu Chatterjee	No	2165
Sivaji Chakravorti	No	2165
Suman Debnath	Yes	2166
Madhu Chinthavali	No	2166
Wenzhe Deng	Yes	2167
Shuguang Zuo	No	2167
Wenzhe Deng	Yes	2168
Shuguang Zuo	No	2168
Lijun Diao	Yes	2169
Huiqing Du	No	2169
Zhan Shu	No	2169
Yaru Xue	No	2169
Mu Li	No	2169
Suleiman M. Sharkh	No	2169
Julio Cesar Dias	Yes	2170
Telles Brunelli Lazzarin	No	2170
Wen Ding	Yes	2171
Shuai Yang	No	2171
Yanfang Hu	No	2171
Hind C. Dirani	Yes	2172
Arezki Merkhouf	No	2172
Anne-Marie Giroux	No	2172
Bachir Kedjar	No	2172
Kamal Al-Haddad	No	2172
Hoang Thinh Do	Yes	2173
Tri Dung Dang	No	2173
Hoai Vu Anh Truong	No	2173
Kyoung Kwan Ahn	No	2173
Duc-Tri Do	Yes	2174
Minh-Khai Nguyen	No	2174
Christopher M. Donaghy-Spargo	Yes	2175
Barrie C. Mecrow	No	2175
James D. Widmer	No	2175
Guangzhong Dong	Yes	2176
Zonghai Chen	No	2176
Jingwen Wei	No	2176
Qiang Ling	No	2176
Xinghui Dong	Yes	2177
Junyu Dong	No	2177
Huiyu Zhou	No	2177
Jianyuan Sun	No	2177
Dacheng Tao	No	2177
Zhen Dong	Yes	2178
Yong Yu	No	2178
Wenshuang Li	No	2178
Bo Wang	No	2178
Dianguo Xu	No	2178
Felipe Donoso	Yes	2179
Andres Mora	No	2179
Roberto Cárdenas	No	2179
Alejandro Angulo Cardenas	No	2179
Doris Sáez	No	2179
Marco Rivera	No	2179
Joachim Druant	Yes	2180
Hendrik Vansompel	No	2180
Frederik De Belie	No	2180
Peter Sergeant	No	2180
Guanglong Du	Yes	2181
Mingxuan Chen	No	2181
Caibing Liu	No	2181
Bo Zhang	No	2181
Ping Zhang 0015	No	2181
Sijun Du	Yes	2182
Edward K. Chan	No	2182
Bing Wen	No	2182
John Hong	No	2182
Hans-Peter Widmer	No	2182
Charles E. Wheatley	No	2182
Haibo Du	Yes	2183
Xiuping Chen	No	2183
Guanghui Wen	No	2183
Xinghuo Yu	No	2183
Jinhu Lu	No	2183
Sijun Du	Yes	2184
Yu Jia	No	2184
Chun Zhao	No	2184
Gehan A. J. Amaratunga	No	2184
Ashwin A. Seshia	No	2184
Sixing Du	Yes	2185
Bin Wu 0007	No	2185
Navid Reza Zargari	No	2185
Zhi-Xia Du	Yes	2186
Xiu Yin Zhang	No	2186
Subhendu Dutta	Yes	2187
Kishore Chatterjee	No	2187
Subhendu Dutta	Yes	2188
Dipankar Debnath	No	2188
Kishore Chatterjee	No	2188
Lachit Dutta	Yes	2189
Champak Talukdar	No	2189
Anil Hazarika	No	2189
Manabendra Bhuyan	No	2189
Saeed Ebadollahi	Yes	2190
Saman Saki	No	2190
Paulo Roberto Eckert	Yes	2191
Aly Ferreira Flores Filho	No	2191
Eduardo Perondi	No	2191
David G. Dorrell	No	2191
Dmitry Egorov	Yes	2192
Ilya Petrov	No	2192
Joosep Link	No	2192
Raivo Stern	No	2192
Juha J. Pyrhönen	No	2192
Dmitry Egorov	Yes	2193
Ilya Petrov	No	2193
Juha J. Pyrhönen	No	2193
Joosep Link	No	2193
Raivo Stern	No	2193
Mohamed Elforjani	Yes	2194
Suliman Shanbr	No	2194
Mahmoud R. Elhebeary	Yes	2195
Mahmoud A. A. Ibrahim	No	2195
Mohamed M. Aboudina	No	2195
Ahmed Nader Mohieldin	No	2195
S. A. Emami	Yes	2196
M. H. Emami	No	2196
Rachid Errouissi	Yes	2197
Ahmed Al-Durra	No	2197
Mahdi Debouza	No	2197
Antonio Faba	Yes	2198
Hari Prasad Rimal	No	2198
Piotr Falkowski	Yes	2199
Andrzej Sikorski	No	2199
Jianwu Fang	Yes	2200
Jianru Xue	No	2200
Yuan Fang	Yes	2201
Tong Zhang	No	2201
Yuan Fang	Yes	2202
Tong Zhang	No	2202
Omar Farrok	Yes	2203
Md. Rabiul Islam 0001	No	2203
Md. Rafiqul Islam Sheikh	No	2203
Youguang Guo	No	2203
Jianguo Zhu	No	2203
Omar Farrok	Yes	2204
Md. Rabiul Islam 0001	No	2204
Youguang Guo	No	2204
Jianguo Zhu	No	2204
Wei Xu 0006	No	2204
Mohammad Farshadnia	Yes	2205
Muhammad Ali Masood Cheema	No	2205
Alireza Pouramin	No	2205
Rukmi Dutta	No	2205
John Edward Fletcher	No	2205
Chao Fei	Yes	2206
Yuchen Yang	No	2206
Qiang Li	No	2206
Fred C. Lee	No	2206
Hao Feng 0004	Yes	2207
Tao Cai	No	2207
Shanxu Duan	No	2207
Xiaoming Zhang	No	2207
Hongsheng Hu	No	2207
Jintao Niu	No	2207
Li Feng 0001	Yes	2208
Jie Yang	No	2208
Santiago Monteso Fernandez	Yes	2209
Salvador Martinez Garcia	No	2209
Carlos Cagigal Olay	No	2209
Juan Carlos Campo Rodriguez	No	2209
Rubén Vela Garcia	No	2209
Joaquín Vaquero Lopez	No	2209
Silvia Costa Ferreira	Yes	2210
Robson B. Gonzatti	No	2210
Rondineli Rodrigues Pereira	No	2210
Carlos Henrique da Silva	No	2210
Luiz Eduardo Borges da Silva	No	2210
Germano Lambert-Torres	No	2210
Bart Forrier	Yes	2211
Frank Naets	No	2211
Wim Desmet	No	2211
Attilio Frangi	Yes	2212
Andrea Guerrieri	No	2212
Nicoló Boni	No	2212
Roberto Carminati	No	2212
Marco Soldo	No	2212
Gianluca Mendicino	No	2212
Francisco D. Freijedo	Yes	2213
Enrique Rodriguez-Diaz	No	2213
Drazen Dujic	No	2213
Qiang Fu 0003	Yes	2214
Jiaojiao Zhu	No	2214
Zhi-Hong Mao	No	2214
Guixin Zhang	No	2214
Tefang Chen	No	2214
Minfan Fu	Yes	2215
Chen Zhao	No	2215
Jibin Song	No	2215
Chengbin Ma	No	2215
Satoshi Fukushima	Yes	2216
Hiromu Sekiguchi	No	2216
Yuki Saito	No	2216
Wataru Iida	No	2216
Takahiro Nozaki	No	2216
Kouhei Ohnishi	No	2216
Artur M. S. Furtado	Yes	2217
Fabrício Bradaschia	No	2217
Marcelo C. Cavalcanti	No	2217
Leonardo R. Limongi	No	2217
Chun Gan	Yes	2218
Qingguo Sun	No	2218
Nan Jin	No	2218
Leon M. Tolbert	No	2218
Zhibin Ling	No	2218
Yihua Hu	No	2218
Jianhua Wu 0007	No	2218
Amir Ganjavi	Yes	2219
Hoda Ghoreishy	No	2219
Ahmad Ale Ahmad	No	2219
Feng Gao 0007	Yes	2220
Xiaosong Hu	No	2220
Shengbo Eben Li	No	2220
Keqiang Li	No	2220
Qi Sun	No	2220
Pengyu Gao	Yes	2221
Kui Li	No	2221
Tianxiao Song	No	2221
Zengjun Liu	No	2221
Bin Gao 0003	Yes	2222
Peng Lu	No	2222
Wai Lok Woo	No	2222
Gui Yun Tian	No	2222
Yuyu Zhu	No	2222
Martin Johnston	No	2222
Xiang Gao 0005	Yes	2223
Fabrizio Sossan	No	2223
Konstantina Christakou	No	2223
Mario Paolone	No	2223
Marco Liserre	No	2223
Anzhu Gao	Yes	2224
Yuanyuan Zhou	No	2224
Lei Cao	No	2224
Zhidong Wang	No	2224
Hao Liu 0008	No	2224
Pablo García	Yes	2225
Mark Sumner	No	2225
Angel Navarro-Rodriguez	No	2225
Juan M. Guerrero	No	2225
Jorge Garcia	No	2225
Aditya R. Gautam	Yes	2226
Kumar Gourav	No	2226
Josep M. Guerrero	No	2226
Deepak M. Fulwani	No	2226
Ting Ge	Yes	2227
Brian Carpenter	No	2227
Khai D. T. Ngo	No	2227
Xiaohua Ge	Yes	2228
Qing-Long Han	No	2228
Xian-Ming Zhang	No	2228
Baoming Ge	Yes	2229
Yushan Liu	No	2229
Haitham Abu-Rub	No	2229
Fang Zheng Peng	No	2229
Baoming Ge	Yes	2230
Xiao Li 0004	No	2230
Haiyu Zhang	No	2230
Yushan Liu	No	2230
Robert S. Balog	No	2230
Haitham Abu-Rub	No	2230
Lance Alpuerto	No	2230
Nagesh Geddada	Yes	2231
Yew Ming Yeap	No	2231
Abhisek Ukil	No	2231
Mohamad Amin Ghasemi	Yes	2232
Alireza Ramyar	No	2232
Hossein Iman-Eini	No	2232
Amir Ghasemian	Yes	2233
Asghar Taheri	No	2233
Sofiane Ghenna	Yes	2234
Frédéric Giraud	No	2234
Christophe Giraud-Audine	No	2234
Michel Amberg	No	2234
Vahid Ghorbanian	Yes	2235
Armin Salimi	No	2235
David Alister Lowther	No	2235
Riddhi Ghosh	Yes	2236
Biswendu Chatterjee	No	2236
Sivaji Chakravorti	No	2236
Mousam Ghosh	Yes	2237
Goutam Kumar Panda	No	2237
Pradip Kumar Saha	No	2237
Mousam Ghosh	Yes	2238
Pradip Kumar Saha	No	2238
Goutam Kumar Panda	No	2238
Rajesh Ghosh	Yes	2239
Miao-xin Wang	No	2239
Srikanth Mudiyula	No	2239
Uday Mhaskar	No	2239
Radoslava Mitova	No	2239
David Reilly	No	2239
Damir Klikic	No	2239
Jessie M. Gillis	Yes	2240
Jefferson A. Chung	No	2240
Walid G. Morsi	No	2240
Hadi Givi	Yes	2241
Ebrahim Farjah	No	2241
Teymoor Ghanbari	No	2241
Saeed Golestan	Yes	2242
Josep M. Guerrero	No	2242
Juan C. Vasquez	No	2242
Dmitry Golovanov	Yes	2243
Luca Papini	No	2243
David Gerada	No	2243
Zeyuan Xu	No	2243
Chris Gerada	No	2243
Jorge Goncalves	Yes	2244
Daniel J. Rogers	No	2244
Jun Liang	No	2244
Kalyan Goswami	Yes	2245
Byung-Gyu Kim	No	2245
Antonio Griffo	Yes	2246
Jiabin Wang	No	2246
Kalhana Colombage	No	2246
Tamer Kamel	No	2246
Francesco Grimaccia	Yes	2247
Giambattista Gruosso	No	2247
Marco Mussetta	No	2247
Alessandro Niccolai	No	2247
Riccardo Enrico Zich	No	2247
Andries J. Grobler	Yes	2248
Stanley Robert Holm	No	2248
George van Schoor	No	2248
Bon-Gwan Gu	Yes	2249
Yuanwei Gu	Yes	2250
Yanfeng Chen	No	2250
Bo Zhang 0011	No	2250
Cong Gu	Yes	2251
Xiaolin Wang	No	2251
Xiaoqing Shi	No	2251
Zhiquan Deng	No	2251
Yueshi Guan	Yes	2252
Yijie Wang	No	2252
Carlo Cecati	No	2252
Wei Wang	No	2252
Dianguo Xu	No	2252
Yueshi Guan	Yes	2253
Yijie Wang	No	2253
Wei Wang 0103	No	2253
Dianguo Xu	No	2253
Yueshi Guan	Yes	2254
Yijie Wang	No	2254
Wei Wang 0103	No	2254
Dianguo Xu	No	2254
Yonghao Gui	Yes	2255
Chunghun Kim	No	2255
Chung Choo Chung	No	2255
Josep M. Guerrero	No	2255
Yajuan Guan	No	2255
Juan C. Vasquez	No	2255
Yonghao Gui	Yes	2256
Mingshen Li	No	2256
Jinghang Lu	No	2256
Saeed Golestan	No	2256
Josep M. Guerrero	No	2256
Juan C. Vasquez	No	2256
Burcu Mantar Gundogdu	Yes	2257
Shahab Nejad	No	2257
Daniel Thomas Gladwin	No	2257
Martin P. Foster	No	2257
David A. Stone	No	2257
Mingzhu Guo	Yes	2258
Yushan Liu	No	2258
Baoming Ge	No	2258
Haitham Abu-Rub	No	2258
Xin Guo	Yes	2259
Hai-Peng Ren	No	2259
Jie Li	No	2259
Gaopeng Guo	Yes	2260
Qiang Song 0002	No	2260
Wenbo Yang	No	2260
Yu Wang 0050	No	2260
Wenhua Liu	No	2260
Hong Rao	No	2260
Shukai Xu	No	2260
Yanjie Guo	Yes	2261
Lifang Wang	No	2261
Yuwang Zhang	No	2261
Shufan Li	No	2261
Chenglin Liao	No	2261
Xiaoqiang Guo	Yes	2262
Yong Yang	No	2262
Tieying Zhu	No	2262
Xiaoqiang Guo	Yes	2263
Yong Yang	No	2263
Xue Zhang	No	2263
Xiaoqiang Guo	Yes	2264
Jiale Zhou	No	2264
Ran He	No	2264
Xiaoyu Jia	No	2264
Christian A. Rojas	No	2264
Xiaoqiang Guo	Yes	2265
Rui Zhong	No	2265
Mingshu Zhang	No	2265
Desheng Ding	No	2265
Weifeng Sun	No	2265
Puneet Gupta	Yes	2266
Phalguni Gupta	No	2266
Ankit Gupta 0007	Yes	2267
Nikhil Kumar	No	2267
Sudip K. Mazumder	No	2267
Hector M. Gutierrez	Yes	2268
Hanri Luijten	No	2268
Ramon Guzman	Yes	2269
Luis García de Vicuña	No	2269
Miguel Castilla	No	2269
Jaume Miret	No	2269
Jordi de la Hoz	No	2269
Nam Ha-Van	Yes	2270
Chulhun Seo	No	2270
Chang-Wan Ha	Yes	2271
Dongwook Lee 0003	No	2271
Jong Moon Ha	Yes	2272
Jungho Park	No	2272
Kyumin Na	No	2272
Yunhan Kim	No	2272
Byeng D. Youn	No	2272
Christopher Hahne	Yes	2273
Andrew Lumsdaine	No	2273
Amar Aggoun	No	2273
Vladan Velisavljevic	No	2273
Hany A. Hamed	Yes	2274
Ahmed F. Abdou	No	2274
Ehab H. E. Bayoumi	No	2274
E. E. EL-Kholy	No	2274
Byeongcheol Han	Yes	2275
Changkyu Bai	No	2275
Jin S. Lee	No	2275
Minsung Kim	No	2275
Peng Han	Yes	2276
Ming Cheng 0001	No	2276
Xinci Wei	No	2276
Yunlei Jiang	No	2276
Jichao Han	Yes	2277
Baojun Ge	No	2277
Dajun Tao	No	2277
Weili Li	No	2277
Bangcheng Han	Yes	2278
Xu Liu 0005	No	2278
Ziyuan Huang	No	2278
Xu Zhang	No	2278
Yinfeng Zhou	No	2278
Byeongcheol Han	Yes	2279
Jin S. Lee	No	2279
Minsung Kim	No	2279
Rabiatuladawiah Abu Hanifah	Yes	2280
Siti Fauziah Toha	No	2280
Salmiah Ahmad	No	2280
Mohd Khair Hassan	No	2280
Moinul Shahidul Haque	Yes	2281
Seungdeog Choi	No	2281
Jeihoon Baek	No	2281
Nolman Barroso Hartmann	Yes	2282
Ricardo C. dos Santos	No	2282
Ahda Pionkoski Grilo	No	2282
Jose Carlos Melo Vieira	No	2282
Liangzong He	Yes	2283
Chen Cheng	No	2283
Xiuqiang He	Yes	2284
Hua Geng	No	2284
Geng Yang	No	2284
Liangzong He	Yes	2285
Jixiao Nai	No	2285
Jianhuan Zhang	No	2285
Liangzong He	Yes	2286
Jianhuan Zhang	No	2286
Chen Cheng	No	2286
Tong Li	No	2286
David R. Hendry	Yes	2287
Amin M. Abbosh	No	2287
Anh-Vu Ho	Yes	2288
Tae-Won Chun	No	2288
Diarmaid John Hogan	Yes	2289
Francisco José González-Espín	No	2289
John G. Hayes	No	2289
Gordon Lightbody	No	2289
Raymond Foley	No	2289
Anderson Hoke	Yes	2290
Austin Nelson	No	2290
Sudipta Chakraborty	No	2290
Frances Bell	No	2290
Michael McCarty	No	2290
Mohammad Hosein Holakooie	Yes	2291
Mansour Ojaghi	No	2291
Asghar Taheri	No	2291
Seyed Mehdi Hosseini	Yes	2292
Rohollah Abdollahi	No	2292
Mehdi Karrari	No	2292
Seyedkazem Hosseini	Yes	2293
Shamsodin Taheri	No	2293
Masoud Farzaneh	No	2293
Hamed Taheri	No	2293
Arpan Hota	Yes	2294
Sachin Jain	No	2294
Vivek Agarwal	No	2294
Dong Hu	Yes	2295
Wei Xu 0006	No	2295
Renjun Dian	No	2295
Yi Liu 0030	No	2295
Jianguo Zhu	No	2295
Wenkai Hu	Yes	2296
Tongwen Chen	No	2296
Sirish L. Shah	No	2296
Jian Hu	Yes	2297
Jie Duan 0001	No	2297
Hao Ma	No	2297
Mo-Yuen Chow	No	2297
Sijia Hu	Yes	2298
Sheng Li	No	2298
Yong Li 0016	No	2298
Olav Krause	No	2298
Bin Xie	No	2298
Bonan An	No	2298
Pengcheng Wang	No	2298
Zhiwen Zhang	No	2298
Longfu Luo	No	2298
Sijia Hu	Yes	2299
Sheng Li	No	2299
Yong Li	No	2299
Olav Krause	No	2299
Firuz Zare	No	2299
Hengzai Hu	Yes	2300
Xiangdong Liu	No	2300
Jing Zhao 0005	No	2300
Youguang Guo	No	2300
Sideng Hu	Yes	2301
Zipeng Liang	No	2301
Wei Zhang	No	2301
Xiangning He	No	2301
Jie Hu 0013	Yes	2302
Min Wu 0002	No	2302
Xin Chen	No	2302
Sheng Du	No	2302
Pan Zhang	No	2302
Weihua Cao	No	2302
Jinhua She	No	2302
Jin Hu 0003	Yes	2303
Rong Xiong	No	2303
Peida Hu	Yes	2304
Peng Xu 0006	No	2304
Bingxu Chen	No	2304
Qiuping Wu	No	2304
Xiaoxiang Hu	Yes	2305
Bin Xu	No	2305
Changhua Hu	No	2305
Jiabing Hu	Yes	2306
Muchao Xiang	No	2306
Lei Lin 0003	No	2306
Maozeng Lu	No	2306
Jianhang Zhu	No	2306
Zhiyuan He	No	2306
Zhongsheng Hua	Yes	2307
Hongtao Yu	No	2307
Ye Hua	No	2307
Zhongyun Hua	Yes	2308
Binghang Zhou	No	2308
Yicong Zhou	No	2308
Kuan-Chieh Huang	Yes	2309
Shyh-Jier Huang	No	2309
Xuzhen Huang	Yes	2310
Jing Li	No	2310
Qiang Tan	No	2310
Zhenyu Qian	No	2310
Chengming Zhang	No	2310
Liyi Li	No	2310
Xuzhen Huang	Yes	2311
Jing Li	No	2311
Qiang Tan	No	2311
Chengming Zhang	No	2311
Liyi Li	No	2311
Jin Huang 0005	Yes	2312
Quanhui Liu	No	2312
Xulong Wang	No	2312
Kaicheng Li	No	2312
Yingbo Huang	Yes	2313
Jing Na	No	2313
Xing Wu	No	2313
Guanbin Gao	No	2313
Jingjing Huang	Yes	2314
Bo Yang	No	2314
Fanghong Guo	No	2314
Zaifu Wang	No	2314
Xiangqian Tong	No	2314
Aimin Zhang	No	2314
Jianfang Xiao	No	2314
Kaixing Huang	Yes	2315
Chunjie Zhou	No	2315
Yu-Chu Tian	No	2315
Shuang-Hua Yang	No	2315
Yuanqing Qin	No	2315
Guan-Long Huang	Yes	2316
Shi-Gang Zhou	No	2316
Tao Yuan	No	2316
Yigeng Huangfu	Yes	2317
Shengzhao Pang	No	2317
Babak Nahid-Mobarakeh	No	2317
Liang Guo	No	2317
Akshay Kumar Rathore	No	2317
Fei Gao 0003	No	2317
Francisco Huerta	Yes	2318
Jorge Perez	No	2318
Santiago Cóbreces	No	2318
Mario Rizo	No	2318
Ming-Fu Hung	Yes	2319
Kuo-Hsiung Tseng	No	2319
Muntazir Hussain	Yes	2320
Muhammad Rehan	No	2320
Choon Ki Ahn	No	2320
Muhammad Tufail	No	2320
Donghyun Hwang	Yes	2321
Yong Seok Ihn	No	2321
Keehoon Kim	No	2321
Raed Khalaf Ibrahim	Yes	2322
Simon J. Watson	No	2322
Sinisa Djurovic	No	2322
Christopher J. Crabtree	No	2322
Jun-Hyuk Im	Yes	2323
Rae-Young Kim	No	2323
Anoop Ingle	Yes	2324
A. B. Shyam	No	2324
Soumya Ranjan Sahoo	No	2324
Sandeep Anand	No	2324
Miftah Irhoumah	Yes	2325
Remus Pusca	No	2325
Eric Lefevre	No	2325
David Mercier	No	2325
Raphaël Romary	No	2325
Cristian Demian	No	2325
Shafiqul Islam	Yes	2326
Peter Xiaoping Liu	No	2326
Abdulmotaleb El-Saddik	No	2326
Walid R. Issa	Yes	2327
Ahmad H. El Khateb	No	2327
Mohammad A. Abusara	No	2327
Tapas K. Mallick	No	2327
Hamidreza Jafarian	Yes	2328
Shibashis Bhowmik	No	2328
Babak Parkhideh	No	2328
Faramarz Jahani	Yes	2329
Mohammad Monfared	No	2329
Venkat Nag Someswar Rao Jakka	Yes	2330
Anshuman Shukla	No	2330
Shrikrishna V. Kulkarni	No	2330
Behzad Jandaghi	Yes	2331
Venkata Dinavahi	No	2331
Sung-Roc Jang	Yes	2332
Chan-Hun Yu	No	2332
Hong-Je Ryoo	No	2332
Seongchan Jeong	Yes	2333
Dongkyoung Chwa	No	2333
Yeon-Ho Jeong	Yes	2334
Jae-Kuk Kim	No	2334
Gun-Woo Moon	No	2334
Xiaodong Jia	Yes	2335
Ming Zhao 0006	No	2335
Yuan Di	No	2335
Qibo Yang	No	2335
Jay Lee	No	2335
Weidong Jiang	Yes	2336
Yan Gao	No	2336
Benxian Xiao	No	2336
JinPing Wang	No	2336
Xingxing Ding	No	2336
Lei Wang	No	2336
Weidong Jiang	Yes	2337
Weicheng Ma	No	2337
JinPing Wang	No	2337
Wei Wang	No	2337
Xuewei Zhang	No	2337
Lei Wang	No	2337
Weidong Jiang	Yes	2338
