:START_ID(Author)	:END_ID(Article)
Jinghong Liu	2403
Robert Kolmhofer	5471
Yousheng Wang	8262
Sung-Ik Park	14825
Jing Liu 0012	1583
Timothy M. Chan	1357
Alberto Pigazo	19786
T. Joshua Pfefer	5857
Masaya Yamazaki	15364
Chengbin Ma	12473
Harald Aschemann	14286
Tanel Jalakas	7230
R. Pérez-Casales	16129
Raúl M. del Toro	4475
Victor Adriel de Jesus Oliveira	215
Oli Mival	17286
Kumar Satyam	13609
Bing Zhu 0004	16553
Rukshani Haputhanthri	5249
Tomás Cejka	14864
Hidehiko Shishido	19538
Ha-Neul Yoon	17352
Yayu Cheng	7207
Kun-Lin Tsai	14685
Ketan P. Detroja	7600
Kee-Young Yoo	5921
Jianguo Yang	4297
Rihito Yaegashi	8409
Jennie J. Gallimore	19017
Yurii Nesterov	19140
Hantao Huang	18902
Sujoy Saha	9059
Viorel Banu	11911
Letizia Scuderi	5610
Zhangxi Lin	14616
Dusit Niyato	7230
Hongwei Ma	16247
Roman Egger	6319
Xiang Cao	11000
Zhaojun Lu	9509
Elizabeth S. Goodman	8424
Carlos Bermejo	12628
Toshihiko Ochiai	15875
Chun-Taek Rim	12851
Kerry R. Love	17213
Xiaofei Wang	17253
Jincheng Ren	9445
Scott Hodgins	3506
Haoyong Li	945
Qiang Geng	8988
Mathieu Raynal	723
Shiv Dutt Joshi	9390
Wenying Wen	15401
Xuebo Zhang	6949
Hang Yin	16970
Xue Jun Li	11188
Yusor Rafid Bahar Al-Mayouf	10167
Mansik Kim	12324
Matteo Cerminara	8777
Fusheng Zhang	14695
Yongxiang Liu	16718
Jiming Liu 0001	17134
Bo-Hyung Cho	4472
Zied Ben Othmane	8474
Xiuxia Chen	15261
Pia Domschke	807
Chongyang Ma	7882
Haiyu Zhang	9906
Xiqi Gao	2760
Luiz Chaimowicz	17561
Bofeng Cao	13836
Qingfeng Ding	17104
Guillaume Cleuziou	12051
Xiaojun Xian	14032
Seddik Bacha	14735
Udayan Umapathi	5475
Wanbing He	4981
Salman Iqbal	8242
Thomas Glott	15226
Ronghai Wang	17528
Sabina Drewniak	19235
Travis Meade	5971
Ting Jiang	9924
Carlos Miguel Tavares Calafate	5294
Angela Ribeiro	6557
Yongik Yoon 0001	16233
Jin-Young Kim	1787
Perttu Hämäläinen	5727
Gian Luca Farina	15153
Yaqi Fang	13579
Le Wang	3546
Mumtaz Riyasat	15020
Mingjiang Guo	4627
Feifei Bu	1962
Leong Kit Gan	6206
Yolande A. A. Strengers	9282
Yanhua Cheng	18865
Sebastien Petitdidier	5710
Bin Wu 0007	9723
Pei Chen	5276
Lin Cai 0001	18715
Ruijian He	97
Shahid S. Siddiqi	18978
Saeed Ibrahim Alqahtani	1203
Caroline McMillan	6636
Thomas Rapps	9760
Capi Corrales Rodrigáñez	980
Jacob W. Kamminga	16298
Ian Pratt-Hartmann	6931
Tommaso Campanella	2123
Fakhreddine Ababsa	1415
Maria A. Lema	9703
Jungo Imahara	15002
Yunjia Wang	15795
Anil Jangam	1370
Joseph Rafferty	14603
Hongke Zhang	12170
Tommy Boilard	1540
Petr Simek	14532
Wojciech Fraczek	16297
Jingfeng Xue	6028
Hongxue Xu	9817
Miguel González-Mendoza	8283
Christian Richard	1472
Yong-Hwa Kim	9206
Fabien Meinguet	2499
Nariman Roshandel Tavana	6079
Patricia Scully	12692
Zeyu Li	5477
Xiangcheng Chen	19099
Xiaojuan Han	12508
Sabrina Conoci	11173
Metwally Rashad	13709
Giovanni Tartarini	10401
Fabian Immler	15905
Alfonso Avila	13206
Behnam Samadpoor Rikan	4288
Clement Mayet	15761
Chushan Li	15950
Xingyan Liu	19070
Cinara B. Zerbini	384
Hendrich Quitmann	16605
Doga Çorlu	17697
Lily M.-L. Ou	3701
Sven Voigt	340
Weishan Zhang	3913
Ruiqin Zhao	12254
Xin (Robert) Luo	2831
Rui Hu	3382
Hyung Seok Lee	9579
Steven Schäfer	11397
Fermín Barrero-González	7455
Jianqu Zhu	10946
Fengchun Tian	9974
Biao Lei	1206
Genki Terashi	17269
Xiaoqing Niu	4126
Arnaud Can	9218
Fabian Langguth	6744
You-Jin Song	16979
Alexandru Stancu	2585
Lina Zhou	11411
Xiyou Cheng	15344
Nizar Ben Sassi	14792
Viktor Kovalevskyi	1070
Tao-Shen Li	18934
Katherine Isbister	13296
Kashif Sharif	12584
Hongxia Li	1244
Haruhiro Katayose	9673
Wenjie Li	12674
Ryosuke Adachi	15000
Zeev Barzily	9433
Yi-Shin Deng	17277
Zhihao Tian	8665
Jörn-Marc Schmidt	3684
Martin Johansson	10609
Feng Chen	9675
Ioannis Kostavelis	16441
Ningning Guo	282
Md. Shuhazlly Mamat	4405
Lorenz Cuno Klopfenstein	16706
Brendan McGrath	8954
Eduardo Nunes dos Santos	19688
Zhipeng Lü	19521
Chia Y. Han	17188
José Luís Fabris	19840
Xiaoshan Yang	7111
Guanghui Li	11200
Hyowon Ha	14430
Bengt Danielsson	9602
Jianli Chen	8880
Rémi Bismuth	430
Pan Wei	13985
Dariusz Janiszewski	8918
Chengtao Cai	121
Jonathan Boisvert	11660
Sweta Mahaju	12241
Eli Voet	7001
Xianfang Wang	1241
Dong-ni Pan	3184
Sumi Helal	5137
Fazel Naghdy	109
Hesam Nourmohamadi	13829
Peng Zhang 0042	19038
Yourim Yoon	3398
M. Shamim Kaiser	5365
Yi-Fan Tseng	15299
Peter J. Miller	18947
David Dewey	8784
Qiangang Zheng	3591
Abdalla E. Abdelrahman	11611
Xiangjie Kong	1316
Didier Stien	4086
Tri Dev Acharya	9309
Shufan Hu	8195
Lin Miao	1792
Li Peng 0005	15272
Songita Choudhury	380
Zhenhao Wang	5702
Enrico Biondi	2341
Nicholas Costen	14677
Nemanja Memarovic	13806
Jiapeng Zhong	1850
Cheng Chen	4918
Qianhuan Li	1702
Philippe Cudré-Mauroux	15290
Pooi-Yuen Kam	15479
Jin Jin 0002	15942
Jianjun Yu	12902
Roger Y. Lee	16650
Christian Marzahl	133
Ilia A. Ovsiannikov	16083
Francis Avilés Cetina	7501
Freidbert Kaspar	8518
Mao Zheng	10554
Hiroshi Ohta	10678
Nicolás Padilla	11953
Samira Hosseini	15056
Min-Kyu Oh	5663
Flavio Esposito	17320
Jingyi Guo	14322
Wasiu O. Popoola	15883
Jiaqi Zhang	2097
Fudziah Bt. Ismail	13637
Mel Woods	19572
Andrea Leonardo Lacaita	7671
Shuntaro Yamazaki	4612
Ching-Wen Cheng	4959
Ric A. Romero	1632
Salvatore Galiano	3452
Xiaomin Zhu	10272
Heiko Ludwig	14034
Hee Nam Yoon	14993
Yubai Li	15077
J. Lakshmi	15850
Peng Ke	901
Luca Fiorani	9820
Masato Edahiro	19331
Wu Yang	2272
Rekai González-Alberquilla	5295
Amir Khajepour	12733
Zheng Zhang 0006	9750
Mingfang Zeng	18914
Xiao Chen 0004	10643
Zhongwei Li	4450
Abdelmalek Benzekri	4493
Yichen Wang	8195
Quoc-Hoan Tran	1572
Patrick Le Callet	17162
Peter Lünenschloß	5338
Ihor Mykhalevych	578
Edoardo Cantù	13926
Hendrik Schneider	9407
Shuo He	9995
José M. Cano	13963
Matthew Crosby	15889
Meiling Wang	2530
Sang-Il Choi	16202
Steve Tung	16600
Raphaël Lami	12615
Yikang Li	3374
Ruikun Mai	15109
Takahiro Tsujii	7861
Adi R. Bulsara	3043
Huseyin Ugur Yildiz	1846
Yushun Wang	3753
Miguel-Angel Luque-Nieto	19462
Erkan Zergeroglu	17339
Ashish Kumar Pandey	5723
Xiaoyan Su	13915
Baoyong Chi	8400
Candice Rassie	17750
Alessandro Cosci	637
Dinh Thai Bui	1507
Junci Cao	8929
Jonas Tousen	3144
Ren-Shiou Liu	13364
Feng Liu	192
Félix Gómez Mármol	6004
Shiroq Al-Megren	12335
Babak Ziaie	13417
Yoshihiro Kawahara	11243
Stefan Winter 0001	5457
Dongxu Li	14523
Lingjuan Miao	587
Merlin George	2415
Jaeyoung Shin	3371
Chunlei Sheng	16080
Ashwin Nivangune	6231
Nicolas Chiappinelli	14630
Xavier Vasques	15137
Florian Dang	13659
Ben Scholes	3027
Jian-Xin Shen	6552
Christian Destré	18447
Seok-Hwan Moon	9890
Junzhou Luo	11808
Said F. Al-Sarawi	2728
John Helmes	13172
Arun Yoganandan	1163
Jörg Daubert	10350
Chao Li	2969
Zhiming Deng	18370
Yongdae Kim	11203
Juan M. Gandarias	12984
Weimin Huang	10237
Yongmei Lei	16072
Yan-Cun Li	14123
Francisco Javier Ruiz Piñar	6382
Yongzhao Du	8131
Changhui Jiang	11325
Yong Lv	13701
Francisco J. Vázquez-Araújo	18091
Afsana Imam Urmi	18621
Baocheng Wang	19291
James Kempf	6313
Anastasia Ailamaki	8121
Weizhong Yan	12565
Daisuke Murakami	13110
Michael Weeks	7243
Taisuke Akimoto	4655
Jordi Corbera	16133
Dezhang Kong	4384
Paul Ohodnicki	16413
Brian Jalaian	4027
Longyi Chen	10349
Jan N. Hombeck	18615
Chin-Ling Chen	19216
Vuk Marojevic	8119
Idris Ismail	15154
Kazunori Sugiura	10099
Wantanee Viriyasitavat	17728
Umberto Abronzini	1142
Guo-Cheng Lan	10547
Soo Yeol Lee	6992
Supratim Deb	5952
Sainan Yang	9466
Euntai Kim	7207
YouLi Feng	7974
David Santoro	7304
Yoichiro Kawaguchi	8727
Y. Wu	11750
Robert Hone	19516
Minami Suzuki	19527
Wenhui Que	2697
Won-Sang Ra	11066
Lujuan Shen	7183
Wen-I Wu	7489
Imran Khan 0003	9209
Xiaolong Zhou	15462
Mehran Asadi	5960
Azrul Azlan Hamzah	16341
Shuang Han	9986
Xiaorong Wang	1045
Yun-Hao Zhao	17069
Chaohe Chen	18536
Yassir Madhour	8411
Sunho Jung	8543
Susan Bergin	8439
ChangHwan Kim	11551
Zhijing Yang	9819
Wei-Guo Ni	1146
Zhiming Geng	19265
Xinhua Yao	2491
Andreas Happe	11250
Sang-Jin Choi	17011
Sumant G. Kadwane	8009
Hui Liang	456
Wesley S. Roehl	10540
Dong Dai	16719
Markus Endler	19772
Dominik Fruhwirt	12226
Xunzhang Gao	76
Xiaowei Cui	10381
Javier Villanueva-Oller	18697
Maic Masuch	9902
Eric Lo	16789
Rolf Haenni	6549
Soobin Jeon	6630
Preben Mogensen	15146
Amila Thibbotuwawa	8039
Erdal Kayacan	18429
Ales Leonardis	1768
Antonio Martínez-Olmos	18131
Guoliang Zhong	14906
Takashi Aoike	7253
Phuc Chau	15195
Jingfang Hu	2681
Hojin Lee	14307
Silvia Casans Berga	5658
Fitri Indra Indikawati	9613
Javier Aguirre	5392
Hairong Zheng	685
Charles Jourdan	14944
Tobi Delbrück	2198
Rehan Sadiq	12918
Santosh Kulkarni	5123
Juan Díaz González	16442
Seppo Yrjölä	10472
Patrick Gruber	11401
José Javier Anaya	3586
Kelly Rosa Braghetto	4624
Min Chul Sung	2786
Sungho Jung	9615
Darian M. Onchis	12253
Lunzhi Deng	3137
Luisa Vittoria Bruno	19900
Xiuchen Jiang	4060
Daming Wei	6320
Sidharth Sharma	12267
Eva Deckers	8297
Rafael García	2896
Gamaliel Junren Ma	14119
Raffaele Ricatto	6875
Akira Ishii	13657
Ho-Yin Lee	15410
Prem Kumar	16225
Benjamin S. Riggan	1159
Masanori Kawasaki	13953
Stanislaw Walczak	5875
Ronald Clark	15880
Hyo-Rim Choi	16552
Soonmin Choi	7922
Somchart Fugkeaw	12120
Hugo H. G. Coppejans	6371
Takahiro Hirao	9450
Thierry Rakotoarivelo	1877
Nasro Min-Allah	9508
Berto de Tácio Pereira Gomes	13713
Anna Osann	13777
Christopher Baik	2673
Saeed Hasan Ebrahimi	16542
Audrey G. Chung	16407
Patty Kuo	12134
Ziming Yu	895
Farrikh Alzami	2547
Chao Han	17177
Apon Numnuam	13211
Anders Johansson	17586
Liyan Qu	15064
Jason O. Hallstrom	7142
Eric Guthmuller	10386
Kaveh Khoshkhah	3103
Nikolaos Poulios	11688
Shoab Ahmed Khan	7704
Balaji Venkat	19744
Sean Semple	1157
Jinglong Chen	10111
Pablo J. Alhama Blanco	12644
Moritz Waldmann	8350
Ying Xia	7246
Zhiqiang Zhang 0001	10983
Jose Matamoros	5750
Zhuoxuan Shen	5284
Yang Chang	18447
Georg F. Lauss	12463
Razia Sultana	15342
Joon Yeop Lee	15755
Wu Chen	3058
Muqeet Ahmad	15904
Shoji Kawahito	1703
Manisha M. Sawant	11334
María Hernández	6405
Matthew Priestley	16469
Dimitrios Georgakopoulos	18230
Jin Huang 0005	14235
Yuxin Liao	8983
Kuber Jain	19296
Helen Gibson	9103
Anja Steinführer	7540
Jianpeng Wang	14146
Jae-Il Baek	1288
Faraz Fatemi Moghaddam	5253
Guy Gilboa	8634
Shaodong Chen	10470
Jilong Ma	17709
Christiane Peters	8413
Raymond Greenlaw	10636
Quoc Bao Vo	11365
Edgard Jamhour	13355
Giuseppe Casula	4276
Rafael F. Reale	16296
Farzane Fallahati	18982
Pete Lopez	19099
Li Tian	4674
Zhongsheng Hua	19685
Khiang Zarchi Htun	5336
Viet Quoc Leu	1339
Jia-Horng Yang	1982
Mikel Mazuela	12378
Min Yuan	5931
Ke Huo	16876
Jerry Chun-Wei Lin	3954
Marco Cococcioni	9824
Guangchun Li	594
Zhenkui Shi	7688
Haiyang Fang	13706
Dennis Roberson	2724
Dzuhri Radityo Utomo	3355
V. V. Anurag	7885
Nikolaos Dimitriou	6884
Yan Sun	6114
Chuanlin Zhang	9249
Ning Nie	16347
Ikki Fujiwara	18589
Ruizhuo Song	7666
Biswajit Halder	5059
Ioannis E. Livieris	12110
Daehan Kwak	10689
Martin Klaudiny	12941
Saverio Salatino	8406
Bruno Van de Velde	17377
Eduardo Casilari	766
Cristina Sylla	18572
Lan Yang	405
Sung-Chan Jang	6714
Dorian Popa	11910
Madhu Biyani	10843
Stephen R. Delwiche	13122
Tomoya Sakurada	15025
Christophe Lohou	5157
Wonjae Shin	16454
Ming Yu	6192
Shuang-Hua Yang	5087
Melanie Baljko	8945
Amine Ait Si Ali	5430
David Dlott	7661
Swarup Bhunia	13118
Jimmy S. J. Ren	14339
Philip Feldman	7368
Ya Han	1454
Xiaowen Sun	836
Amel Baha Houda Adamou-Mitiche	9854
Christophe Renaud	19564
Gianluca Setti	1098
Jinsung Kim	15298
Irfan Ahmad	7340
Xizhi Shi	5496
Roshaan S. Arvind	1119
Diego Vaquero-Melchor	2504
Hamzah Arof	4252
Kevin Bouchard	15255
Mohsen Aleenejad	778
Dajun Lei	13873
Tonino Pisanu	7434
David Nedeljkovic	8554
Antonio Liotta	14411
Hailiang Sun 0002	13185
Kazuma Wada	14741
Yebo Gu	15540
Triloki Nath	15789
Torben Ole Andersen	15345
Tony Nowatzki	9851
Xiaokun Wu	19255
Edwin K. P. Chong	5919
Xianmin Zhang	19090
Rangachar Kasturi	1871
Rodica Pode	18051
Pierluigi Pierini	3986
Navid Nikaein	12617
Hongru Wang	92
Lena Maier-Hein	4190
Sofia Cavaco	18489
Guangqiang Xie	16469
Muhammad M. Al-Gharabli	16686
T. G. Emam	6071
Lei Chang	17017
René-Vinicio Sánchez	2569
Anzhi Wang	2388
Xiao-Yi Li	17731
Mengqi Li	19161
Oliver Kolb	7828
Sho Sakaino	11043
Xiang Li 0008	19154
Sean G. P. O&apos;Brien	10505
Mai Otsuki	9543
Zhongliang Wei	7000
Kunal Chakraborty	14571
Kurian Polachan	18117
Jianbo Niu	9218
Xin Ning	15500
Jie Gan	8932
Zai-Cheng Guo	18153
Haisheng Li	14194
Gábor Szekeres	1273
Christoph Hennersperger	1778
Zhongze Gu	10623
Wenbo Liu	19374
Dev Ranmuthugala	6086
Mojca Volk	12607
Shad Gross	165
Fazal-ur Rehman	2465
Barbara Pernici	14319
Satomi Manzaki	19936
Santiago Led	1828
Julie Trueman	16742
Luc P. J. Vosters	11621
Vijay Mago	4452
Arpit Singh	8210
Yoshiki Nakamura	15251
Vicente Azorin-Peris	19425
Sergio Salvi	16280
Weiyuan Pan	11677
Yevgen Biletskiy	11456
Huiting Guo	5277
Tasawar Hayat	4945
Xingshui Zu	11520
Yu Jia	7847
Tommaso Addabbo	15550
Ishtiaq Wahid	6197
Kousuke Miyaji	8187
Alaleh Alivar	585
Wenying Wen	1563
V. R. Lalithambika	4904
Yann Beilliard	8133
ChinLun Lai	4425
M. A. Razbani	8231
Benjamin Gruenwald	3025
Raffaello D&apos;Andrea	11591
Shengyun Liang	8801
Dae-Keun Choi	5244
Kangpei Yuan	18445
Eman Alazawi	7766
Ming Qin	16164
David Calero	3874
Jun Wan 0003	6570
Joseph Irudayaraj	18714
Hyung-il Kim	7705
Henrik Ekstrom	2889
Bernhard Lippmann	2923
Péter Olaszi	8421
Xianwen Gao	3385
Frank K. Tittel	16610
Nikhil Tripathi	7429
Haoyu Yang	6261
Gonçalo Jesus	6765
Yuting He	14098
Paul Conoval	216
Rasita Pai	10108
Ibrahim Gaidan	14499
Weihua Li 0001	14454
Shengzhao Pang	1952
Simone Mora	19008
Ting Fang	18392
Y. Zhang	17650
Geyi Sheng	8098
Rawa Arif	3291
Alexander Plopski	3656
Meng Han	3693
Luca Marengo	12982
José Pedro Santos	16004
Suk Gyu Lee	5758
Xiaojie Su	13360
Tuomo Hänninen	19487
Benjamin Delaware	14863
Chih-Sheng Ho	4374
Sonia Blasioli	11574
Olga Sorkine-Hornung	17978
Babak Farhangi	5916
Miroslaw Blocho	16051
Fei Lin	18299
Sergi Padilla-Parra	12516
Andrea Wong	8621
Qing Guo 0003	243
Deguang Han	1379
Vasileios Porpodas	1193
Jie-Ming Wang	10999
Graham Dove	5527
Humberto Henao	17452
Jun Mo	7427
Shunnosuke Ando	206
Satoshi Ohzahata	5591
Wenson Chang	15626
Pavan Kumar Kota	5633
Chaoming Liu	5810
Alfred Rufer	7178
Shang-Fu Yeh	2973
Akshay M. Kekre	18450
EunJin Kim	12591
Marcelo H. Ang	5763
Jae-Il Baek	11096
Eddy Betances-Salcedo	4979
Ke Lai	3684
Bernd Hentschel 0001	7336
Jibin Song	13629
Ben Ye	18207
Seong-Il Jin	8300
Onnik Yaglioglu	17861
Fahed Awad	5833
Juan Ramón Heredia-Larrubia	4643
Darren Ansell	12434
Dapeng Yang	11766
Xiaojun Ban	6053
Hailong Zhu	13584
Rajesh Bordawekar	15883
Salama S. Ikki	14804
Catherine Letondal	6582
Santi Agatino Rizzo	7791
Uday Pratap Singh	18889
Zahra Hamzavi-Zarghani	5767
Ahmed Abdelhakim	17708
Wei Feng 0011	16326
Sean Roberts	17438
Chuang-Wen You	15557
Dominik Herrmann	11630
Siyuan Feng Chen	848
Ocean Wu	6376
Li Feng 0003	18505
G. C. Greubel	5433
Jeferson Ferri	4818
Juan-Carlos Cobos-Torres	1923
Pengxiang Li	7203
Giancarlo Mantovani	12288
Geehyuk Lee	17784
Mianxiong Dong	19021
Xiaoyun Xie	16218
Sayan Sarcar	4682
Rajan Garg	7217
Bin Song	11230
Medha Juneja	16033
Rafael Pena-Alzola	5766
Nadège Montoux	14325
Shu-Yi Zhang	16635
Marie Bech Andersen	3388
Christos Koulamas	17998
Elena Márquez Segura	2262
Takaaki Shiratori	18247
François Trépanier	11559
Maoling Yan	19660
Radoslaw Zimroz	6688
Luiz Henrique Silva Colado Barreto	8942
Jianxin Guo	4763
Syed Khurram Rizvi	14361
Hiram Galeana-Zapién	12430
Suchuan Dong	15709
Zeeshan Kaleem	19867
Fidaa Abed	15441
Junfeng Chen	5395
Wenshuang Li	12790
Kai Sun 0004	13258
Guillermo R. Catuogno	6353
Nguyen-Ha Vu	13253
Adrián Peñate Sánchez	10118
Prasad Calyam	14512
Derong Liu 0002	12351
Yangyang Lv	10541
Xin Zhang	14409
Paolo Dario	13567
Xinge Zhu	4478
Harm M. Bartholomeus	11585
Lin Miao	15283
Mei Yu 0001	17235
Enrico Maria Vitucci	1270
Debashis Chatterjee	14202
Emmi Parviainen	13514
Vitor Vasconcelos	14569
Yanqing Zhang	17543
Maengseok Noh	8810
Bruno Bougard	4030
Antonino Mazzeo	11814
Dianbo Fu	10019
Ljiljana S. Peric	11023
Wenqing Xu	18003
Jaekwang Nam	8633
Delia Cinteza	3989
Miguel Ángel Prada-Delgado	4630
Hantao Liu	10260
Lin Chen	10273
Robert Kunicki	12911
Anke Schmeink	12142
Mujahid Muhammad	16180
Panote Thavarungkul	16436
Mukesh Kumar Giluka	11730
Mohammed AlSada	14823
Yulu Fu	10860
Wei Chen 0036	4920
Xiaochuang Yao	9057
Irfan S. Al-Anbagi	2508
Francisco de la Vega	3696
Peter McGuire	16718
Parthasarathi Sensarma	9406
Guimin Xiang	635
Seyoon Jeong	9525
Yunong Zhang	7029
Tsai-Fu Wu	9552
Frank Meyer	6449
Felipe Sass	9189
Luís Flores	13576
Frederik K. Larsen	17484
Axel Rüter	19601
Tooraj Nikoubin	15260
Ayesha Hussain Khan	19865
Yuqin Deng	10475
Duohe Ma	9301
Víctor Díaz-García	14861
Yuhua Xu	1238
Tianmiao Wang	8112
Ravi Kumar Suresh Babu	9268
Laurent Praly	11122
Jingyu Feng	3774
Ming Zhao 0006	5820
Bo-Hui Tang	18119
Deyuan Meng	12958
Yoshito Mekada	18624
Attilio Vaccaro	18953
Jihong Zhu	11754
Adel Merdassi	1543
Tongda Wang	19665
Thomas J. Besselmann	13864
Wei Hu 0009	15631
Aristotle Spyropoulos	16869
Fujian Gao	715
Guangwu Hu	18283
Samar Elaraby	10935
Lushen Pang	3927
Guogang Zhao	5295
Jinjia Guo	14053
Ross T. Smith	5554
Wu-Tung Cheng	8538
Marie Louise Juul Søndergaard	9918
Ashlee N. Ford Versypt	9990
Ji-Hyun Min	9602
Emmanuel Tsekleves	16566
Martin Rinard	9415
Young-Suk Kim	1425
Rinko Komiya	1067
Boyang Li	5511
Toni Levanen	11912
Min-Chun Pan	18942
Yong Zhang	5802
Xiaoguang Cao	188
Benjamin Elliott	18698
Faisal Khurshid	5256
Daniel Granlund	3727
Minjuan Wang	13086
Otmar Loffeld	19852
Sylvain Finet	3092
Zhongchen Miao	6402
Bedrich Benes	17429
Mifeng Ren	5964
Wei Sun 0011	8532
Junbo Zheng	14385
Haiwei Zhang	4017
P. Goldsmith	2702
Amir Moghadasi	3573
Eerke A. Boiten	7206
Yerraguntla Shasi Kumar	8155
Luis Bellido	17724
Shem Kikamaze	4813
Zoltan Gingl	15507
Muneer Alshowkan	18193
Mateusz Smietana	18851
Hang Dai	19183
T. Budzynski	16959
S. Marcela Loría-Salazar	491
Siddhartha Nandi	10265
Zhenhua Liu	21
Charles Boisvert	13824
Jen-Wei Huang	14838
Sami Ruoho	901
Yang Xiao	2582
Michelle Annett	2890
Bin Song	4367
Hua Zhang 0015	18813
Deying Li	12620
Jiyuan Hu	14925
Yongbin Chu	289
Malin Rau	7474
Arunabha Sen	4904
Joseph P. Kerry	1752
Ruoyu Xu	9563
Pedro Estanislao Acuña-Avila	17231
Fabiola Maffra	18516
Carlo Ragusa	495
Junpeng Guo	10599
Beny Neta	7487
Kunyi Cai	16573
Ashok Kumar Singh	9
Octavian G. Mustafa	9068
Rinko Komiya	8275
Congzhi Liu	7575
Kazuhisa Ito	8916
Pejman Lotfi-Kamran	17117
Ionut Trintis	7729
Paloma Díaz	6035
Adrien Cassagne	6129
Elina Michopoulou	18456
Omar Abu Arqub	3538
Taocheng Hu	16913
José Manuel Sánchez-Vílchez	3609
Aditya Vamsi Mamidi	1321
Pascal Poilvert	9260
Marcel Walter	16633
Jianhua Gu	7289
Jacob Thorson	19933
Sam Kwong	314
José Soler	943
Yunpeng Su	16077
Giuseppe Fenza	14665
Luis Valino	4487
Wenjun Chen	11704
Zili He	7818
Shahriar Badsha	800
Eric Renard	19909
Zhouzheng Gao	2265
Denis Jeanneau	2383
Chengyun Zheng	11633
Hao Liu 0008	14032
Tibor Balogh	3940
Hyung-Soon Park	5055
Xuchu Mao	17344
Lixue Xia	2205
Umutcan Simsek	1117
Mungyu Bae	5421
Zhenyu Lu	4967
Damien Stucki	1380
Telles B. Lazzarin	4552
Mohit P. Tahiliani	11246
Panagiotis Partsinevelos	11462
Jingyu Yang	3541
Fan Bu	15475
Abdallah Ougazzaden	10293
Tae-Jin Lee	7246
Mikael Gidlund	4627
Patrick Fréville	13271
Usman Ahmad	19580
Wenwen Kong	18811
Muhammad Ehatisham-ul-Haq	7909
Sung Yi	4447
Abdul Rahim Ferhan	14451
Hiroki Morimura	1487
Yan Shi	5441
Chung-Ping Young	12683
Sabine Koch	10538
David Zhang 0001	8851
José Angel Montes Olguín	10350
Eiichi Tamiya	7403
Hehua Yan	14177
Zhirui Wang	8188
Radu-Daniel Vatavu	13752
Mohamed M. Abdallah 0001	15782
Tolga Birdal	3753
Salvatore Raho	16393
Kjell Larsson	3928
Guozhang Jiang	892
Angel Daniel Munoz Guzman	959
Romina Eramo	8704
Baohua Teng	11517
Yan Kou	12116
Yaser E. Hawas	6072
Xi Cai	17774
Stjepan Stipetic	19687
Ruopu Zhu	18998
Mingqiang Chen	17789
Norbert Schmitz	3686
Xiran Wang	16664
Rui Mao	19732
Xu Kong	10732
Pavan Kumar Mishra	16438
Daniel Rotman	7711
Kaisa Väänänen-Vainio-Mattila	12240
Yi Sui	3304
Marie Durand	964
Meng Zhang Lmam	3921
Changfeng Fu	10727
Yuanwu Lei	10890
Youcef Djenouri	12800
Ali H. Akbar	3596
Alexander Plopski	17771
Malte Doerpmond	17748
Sen Wang	4256
Long Hu	14167
Dunbo Cai	17715
Yunbo He	5165
Min Young Kim	5387
Boopala Krishnan	17129
Erik Aguirre	19385
Ali Mehrdadian	5362
Ke Zhang	15748
José Ghislain Quenum	2589
Samuel Madden	15736
Konstanze Gier	6308
Feihong Dong	15540
Xiaojia Wang	7135
Olga Bibikova	5705
Taehyung Kim	5889
Gonçalo Jesus	19577
Chien-Wen Wu	11021
Guoning Wu	6251
Huiyu Zhou	10235
Sinan Li	11311
Giovanni Serra	6685
Yunpeng Cai	6945
Kwang-Won Koh	16892
Farhan Rahman Wasee	15193
Hyun Sil Moon	5001
Dumitru N. Olaru	16972
Syed Zeeshan Ali	11860
Yongkai Huo	6306
Vincenzo Genovese	7137
Gongpu Wang	1001
Hairihan	15706
Huynh Van Luong	5218
Girolamo D&apos;Agostino	200
Hamzah N. Al-Rawi	648
Manuel Martínez-Corral	13137
Liming Yuan	3472
Lukas Klodt	8613
Hisham Alwanni	4848
Yaoguang Wei	18784
George A. Anastassiou	3092
Tim Grube	2798
Kazuki Takashima	5962
Naveen Chilamkurti	8319
Takehiro Tsuzaki	3992
Anatoli F. Ivanov	3659
Kristen Leach	16412
Scott Sorensen	9078
Dirk Abel	15711
Max Pfeiffer	5726
Gilbert Beyer	11167
Mingxuan Chen	10014
Donato Di Paola	5929
Vladimír Sládek	11845
Chao Lu 0002	11394
Takahiro Kusano	11111
Vincenzo Gulisano	8093
Hassan Noura	2873
Gaurav Veda	10784
Mohamed Mhiri 0001	4523
Marco Moretti	6369
Zahra Hamzavi-Zarghani	19229
Patrizia Murko	24
Thanh V. Pham	2531
Halima Elbiaze	5754
Wanting Ding	7669
Dong-Hwan Hwang	18524
Kil To Chong	10863
Alex D. L. Gray	17312
Wei-Hsin Yen	3136
Freek Verbeek	9375
Maurizio Spadavecchia	2861
Weilong Ding	12415
Héctor Cifuentes	18248
Chung-Cheng Chiu	18701
Christopher H. T. Lee	4843
Naveen Mishra	6792
Constantin Musca	18253
Jun Morita	12314
Claudia Preininger	8778
Zhaoyang Tong	4897
Amanda Rodriguez	2194
Maxime Hervo	2928
Xiaojun Ban	3654
Ke Bao	4778
Madhu Jain	5624
V. Karthikeyan	10003
Shyh-Wei Chen	10202
Francisco Javier González-Castaño	4320
