author	institution name	Company|University
Fernando Gómez-Bravo	University of Victoria	University
Lik-Kwan Shark	Hughes and Sons	Company
Haitao Li 0001	Butler-Fisher	Company
Mia Loccufier	London Guildhall University	University
Shaoling Li	Pitts Group	Company
Jae W. Lee	Sirte University	University
Sang Sub Kim	Armstrong-Ortega	Company
Hernandi Krammes	Robinson and Sons	Company
Makoto Kobayashi	Baldwin-Wall	Company
Michael Stock	Cunningham, Jones and Porter	Company
Aws Naser Jaber	May Inc	Company
Jaehyun Ahn	Ferguson, Clarke and Osborn	Company
Mengxuan Shi	Kim PLC	Company
Alessandro Saletti	Takasaki City University of Economics	University
Jeonghyeon Cheon	Beltran Ltd	Company
Mohammed S. Al-Numay	American University of Science and Technology	University
G. Akhil	Farmer Inc	Company
Junjie Bai	Richardson-Velasquez	Company
Chao Wang 0010	American University of Middle East	University
Toshio Fukuda	Martin Inc	Company
Sibel Emir Diltemiz	Manning-Martin	Company
Marc Moonen	Romero PLC	Company
Mehdi Shahparnia	Yokkaichi University	University
J. Martínez	Griffin-Nelson	Company
Thad Starner	Novosibirsk State Agricultural University	University
Maumita Chakraborty	Kanazawa Medical University	University
Kiyuk Chang	Malayer University	University
Prabhat K. Upadhyay	Wallace-Nelson	Company
Praful Krishna	Smith-Malone	Company
Sridha Sridharan	Memphis College of Art	University
Hae Sol Lee	Aligarh Muslim University	University
Filippo Giannetti	Johnson Group	Company
Xianglei Xing	Russian Academy of Theatre Arts	University
Takahiro Iyama	Concordia College, Ann Arbor	University
Srimanta Santra	Florida Metropolitan University, Tampa College Lakeland	University
Jinrong Guo	College of the Holy Spirit	University
Linda G. Shapiro	Indian Institute of Technology, Roorkee	University
Dirk Deschrijver	Armstrong-Ortega	Company
Houbing Song	St. Joseph's College New York, Suffolk Campus	University
Sk Jahid Ahmed	St. Petersburg State Medical Academy	University
Grzegorz Lagód	Sakarya University	University
José J. Oliveira	Mimasaka Women's College	University
Bernhard Elsener	University of Luxemburg	University
Yiguang Hong	Hochschule Mittweida (FH)	University
Wei-Cheng Jiang	Institut National Polytechnique de Lorraine	University
Andrea Baiocchi	Lopez-Bean	Company
Heikki N. Koivo	Pena-Myers	Company
Conny Fiedler	Gray and Sons	Company
Rui Chen	Hall, Harris and Stout	Company
Fushan Wei	Technological University (Banmaw)	University
Simone Del Favero	Fachhochschule Stralsund	University
David Martín 0001	Blair-Rivera	Company
Shengyao Jia	Chungbuk National University	University
Oresti Baños	Sullivan College	University
Muhammad Usama Usman	University of Abertay Dundee	University
Ju Wan Kim	Mahatma Gandhi University, Kerala	University
Michael J. Cree	Mclean, Collins and Watson	Company
Sheng-Hu Ding	Fox, Winters and Mendoza	Company
Jaime Cagigas	Gandhara Institute of Medical Sciences	University
Shuhong Wang	Shah-Patton	Company
Alan Mathewson	Holland, Mitchell and Hess	Company
Danila Moscone	University of Parma	University
Md. Golam Rabiul Alam	Huerta, Griffin and Jennings	Company
Fei Song	Lewis-Walker	Company
Lukman Audah	Martinez, Owen and Hall	Company
Ahmed Ayman	Lipscomb University	University
Carlos V. Regueiro	Universidad José Cecilio del Valle	University
Ilangko Balasingham	Reese, Garcia and Willis	Company
Michael Paraskevas	Reed PLC	Company
Stefano Parrino	Stephenson Ltd	Company
Toribio Fernández Otero	Pan-African University	University
Libin Yang	Gyeongju University	University
Danielle Tchuinkou Kwadjo	Hodge LLC	Company
Sumit Kundu	Camacho, Simmons and Orr	Company
Mengnan Song	Tokai University	University
Luciana W. da Silva	Salinas, Grant and Rivera	Company
Zheng Ma	Evans, Cox and Hart	Company
Shao Yong Zheng	National Hualien Teachers College	University
Rashid Mirzavand	University of Sri Jayawardenapura	University
Xin Sui	Spalding University	University
Diana Leonor Garcês Costa	Leiden University	University
Xianming Lang	Brigham Young University	University
Hadi Saeidi-Manesh	St. Joseph College of Nursing	University
Mehar Chand	Universidad de Las Palmas de Gran Canaria	University
Hao Luo 0003	Flynn Group	Company
Qinghe Liu	Bauer, Hall and Anderson	Company
Yong Liang	Universität Osnabrück	University
Yujia Zhai	Arthur D. Little Management Education Institute	University
Jithin J	Rabindra Bharati University	University
Paulo Régis C. de Araújo	Mimasaka Women's College	University
Ivor Dulk	Southern California College	University
Xu Kong	Dongguk University	University
Congjie Yang	Martinez, Owen and Hall	Company
Ziming Zhu	Lewis Group	Company
Xiaoming Yuan	Yates and Sons	Company
Mingchu Li	Johnson Group	Company
Baojin Ding	Espinoza LLC	Company
Malika Auvray	Africa International University	University
Fotis D. Kanellos	Simpson College Iowa	University
Xiaoyan Hong	IE University	University
Barbara Pernici	Gomez-Dunn	Company
Luiz Marcos Garcia Gonçalves	Islamic Azad University, Shiraz	University
Aiguo Song	Yokohama City University	University
Angelique Loesch	Reed PLC	Company
Liao Wu	Ross University, School of Medicine	University
Radim Tylecek	Lopez-Bean	Company
Lars-Eric Larsson	University of Southern Philippines Foundation	University
Konrad Andrzej Markowski	Shah, Salazar and Williams	Company
Christopher L. Magee	University of Sindh	University
Weihua Zhuang	Wade-Miller	Company
Chang-Wan Ha	Kurashiki University of Science and the Arts	University
Francisco Casas	Perry Group	Company
Young Beom Song	St. Norbert College	University
Kai Ding	Kiev School Of Economics	University
Marco Ariola	Iowa State University of Science and Technology	University
Yi-Gon Kim	National Technical University (Kiev Politechnical Institute)	University
Chao Wu	Moore and Sons	Company
Chuan Hu	Pace University  Pleasantville/Briarcliff	University
Gilberto Ochoa-Ortega	Fine Arts Academy in Poznan	University
Luiz Satoru Ochi	Moore-Baker	Company
Ke Deng	Open University of the Netherlands	University
Sadok Bdiri	Williams, Campbell and Cline	Company
Varun Jeoti	Escobar, Ortega and Cunningham	Company
Woongwoo Lee	Wallace, Gordon and Smith	Company
Xudong Wang 0001	Chung-Clark	Company
Wim Heirman	Dodson-Cox	Company
Huang-Jen Chiu	Brown Group	Company
Yonghong Tan	Escuela Superior de Gestion Comercial y Marketing (ESIC)	University
Yang Yang 0035	Alabama State University	University
Licinio Roque	National Taiwan College of Physical Education and Sports	University
Jules L. Hammond	Robinson, Moore and Turner	Company
Shivakumar Sastry	Simmons Ltd	Company
Philémon von Bergen	United States International University	University
Ru Fang	Warren, Gray and Coleman	Company
Jia Xu 0001	American University Extension, Okinawa	University
Phuc Chau	Perry Group	Company
Peter Hailes	Howell-Contreras	Company
Hennry Mauricio Pilco	Technical University of Czestochowa	University
Matthew F. Brejza	Marquez, Small and Owen	Company
Guorong Cai	Universidad Autónoma de Guerrero	University
Cheng Lei	Fachhochschule für die Wirtschaft	University
Chih-Yu Wang 0001	Jones-Galvan	Company
Oumar Alassane Barro	Smith-Miller	Company
Yuxin Liao	Lorestan University	University
Detlef Scholle	Rowe PLC	Company
Jiajin Zhang	Martin Inc	Company
Dawei Zhang	Gonzalez, Chang and Kerr	Company
Xinkai Li	Taylor-Martin	Company
Yu-Cing Liou	Ferguson, Li and Montgomery	Company
Jin Ho Park	Wuhan University	University
Ilkka Laakso	Alvarado-Black	Company
Lyn Bartram	Ernst-Moritz-Arndt Universität Greifswald	University
Javier García de Jalón	Ecole Supérieure d'Informatique et de Management	University
Lianqiang Sun	New College of California	University
Benjamin Mahns	Ryan PLC	Company
Andres Ulloa Schmeisser	Warren, Gray and Coleman	Company
Pengfei Shao	Johnson-Mitchell	Company
Jung-Joo Lee	Gross, Bond and Joseph	Company
Sudeep Sarkar	Atlantic University	University
Nan Li 0012	Diaz-Parker	Company
Ruoxia Yao	Gamble-Mendez	Company
Matthieu Giraud	Barrera LLC	Company
Rethinam Natarajan	Moore-Baker	Company
Nicolas Audebert	Institute for Advanced Studies Lucca	University
Sukant Kishoro Bisoy	Griffin-Nelson	Company
Thomas Lambert	Snyder Group	Company
Yu Ji	Farley, Gould and Davis	Company
Maximilian Weiherer	Morgan Inc	Company
Kaihui Zheng	Blair-Hernandez	Company
Mana Yazdani	Simmons-Silva	Company
Jaewoo Kang	Howard University	University
Tianhua Jiang	Jordan University of Science and Technology	University
Limei Lin	May LLC	Company
Guillaume Vivier	Mcclure-Wright	Company
Raid Alzubi	Kazan State Pedagogical University	University
Nicola Roveri	Institut National des Télécommunications	University
Tingyue Li	Barber Inc	Company
Jian Cao	Humphrey, Rivera and Nichols	Company
Ying-Hsi Lin	Brunswick Community College	University
Heping Zhu	Warren, James and Barrett	Company
Fei Li	Hernandez Ltd	Company
Jakob Tholander	Tokyo University of Agriculture	University
Yabin Liang	Cox-Martin	Company
Yuichi Murai	Hunt Inc	Company
Yulong Pei	Wittenborg University	University
Oded Shmueli	Hansen LLC	Company
Mark Callaghan	University for Humanistics (UH)	University
Yong Feng	Southern New Hampshire University	University
Wenyu Chen	Johnson-Williams	Company
Marius Nolden	Southampton Solent University	University
Shih-Wen Chiu	Blair-Hernandez	Company
Alberto Leon-Garcia	Thomas PLC	Company
Shining Weng	Savannah College of Art and Design	University
Dimitrios Trachanis	Clark-Christian	Company
Han Xu	Carpenter Ltd	Company
Peter Mandl 0001	Magadh University	University
Malte Doerpmond	Jobu University	University
Andreas Wiesbauer	Burns Group	Company
Wei Zhong	Mountain State University	University
Minhao Zhang	Thomas, Dawson and Morales	Company
Gang Hua 0002	Warren, Gray and Coleman	Company
George Chennell	Soonchunhyang University	University
Hong Ren	Brown Ltd	Company
Henriette Bier	Hall, Adams and Mathews	Company
Asif Chalanga	West LLC	Company
Ying Zhang 0010	Kelley, Jones and Kim	Company
Sun Yong Kim	Huerta, Griffin and Jennings	Company
Muhammad Aksam Iftikhar	National College of Naturopathic Medicine	University
Antoine Morel	Brewer-Jones	Company
Nan Chen 0005	Martinez, Owen and Hall	Company
Zhixiang Hao	National University of Ireland	University
Min Lei	Galloway Inc	Company
Martin Johnston	Massey University	University
Tingliang Zhou	Amirkabir College of Managmant & Technology	University
Gerald P. Duggan	Wang-Bryan	Company
Seilendria A. Hadiwardoyo	Indian School of Mines (ISM)	University
Ismael F. Aymerich	Rensselaer Polytechnic Institute	University
Arsenio Muñoz de la Peña	Hubbard Ltd	Company
Yunmeng Ran	Universidade do Porto	University
Luiz Fernando Carvalho	Cabrera, Hernandez and Schneider	Company
Asanka Sayakkara	Johnson-Turner	Company
Habibullah	Universidad de Guayaquil	University
Paolo Monti	Hutchinson, Mcguire and Combs	Company
Faria Kanwal	Rybinsk State Academy of Aviational Technology	University
Ignacio Gaunaurd	Southwest Forestry University	University
Yishan Su	Hensley, Hughes and Hopkins	Company
Kilwha Pi	Universidad de León	University
Jongtack Jung	Kaunas University of Technology	University
Li Sun 0001	Park-Turner	Company
Selcuk Bassoy	Rush Group	Company
Yacine Felk	Garcia and Sons	Company
Vladimir Kostic	Wright LLC	Company
Miklós Telek	Johnson-Mack	Company
Daniel G. Sbarbaro	Lang, Short and Brooks	Company
Olivier Ondel	Munoz PLC	Company
Quande Dong	Beck Group	Company
Mingjun Jiang	Molloy College	University
Xiaoyang Chen	Zimmerman-Decker	Company
Jamie Murphy	Riga Technical University	University
Linyuan Zhang	Hartford Graduate Center (Rensselaer at Hartford)	University
Hatem Garrab	British Royal University	University
Mohit P. Tahiliani	Brown-Stewart	Company
Maria Evelina Mognaschi	Stonehill College	University
Yu-Ming Wu	Warren Inc	Company
Andrzej Kielbasinski	Clark-Perkins	Company
Wen Chen 0001	Ibaraki Christian College	University
Yuan Wu	Universidad de Puerto Rico, Humacao	University
Jin Tae Kwak	Université de Nantes	University
Rasik Hasan	Sumgait State University	University
Latifa Oukhellou	Cross-Smith	Company
Atsuo Kawamura	Universidad Francisco de Paula Santander	University
Bernhard Radke	Universitas Diponegoro	University
Maha Maalej	Christian-Albrechts-Universität Kiel	University
Yawen Wang	Hardy, Torres and Adams	Company
José-Vicente García	Johns Hopkins University, SAIS Bologna Center	University
Md Israfil Biswas	Yalova University	University
Qi Chen	University of Essex	University
Randa Jaouadi	Rivera Inc	Company
Vojtech Svatos	Université de Mostaganem	University
Raad Raad	Cunningham, Jones and Porter	Company
Jooyoung Oh	Shea, Davenport and Campbell	Company
Augusto Celentano	Butler Group	Company
Kang Liu 0011	Nichols PLC	Company
Natalia Neverova	Lane Inc	Company
Lin Hou	Ayala-Sherman	Company
Y. Zhang	Lane-Kim	Company
Thanh V. Pham	Stanley and Sons	Company
Robert Ganian	Johnson-Brown	Company
Gabriel B. Senay	Dorsey, Cox and Johnson	Company
Ubon Thongsatapornwatana	Jordan Group	Company
Toshihiro Wada	Uttarakhand Open University 	University
Ahmed Y. Al-nasheri	Stout, Mcdowell and Taylor	Company
Cinzia Caliendo	Hernandez-Farmer	Company
Mihai Ciobotaru	University of Bunkyo	University
Dennis Wegener	Stout, Mcdowell and Taylor	Company
Love Singhal	Eastern Mediterranean University	University
Saqib Iqbal	Columbus College of Art and Design	University
Ado Adamou Abba Ari	ENIC Telecom Lille 1	University
Dzmitry Kliazovich	Wilson Ltd	Company
Jiayin Qi	Rogers and Sons	Company
Xinye Chen	Horton, Strickland and Cooper	Company
Renaud Sirdey	Woodard Inc	Company
Costas J. Spanos	Johnson and Sons	Company
Tamal Ghosh	Gomez Inc	Company
Yanfeng Zhang	Grand View College	University
Mauro Lacerda Santos Filho	Morris, Booth and Villanueva	Company
Massimo Condoluci	Instituto Superior de Gestão - ISG	University
Rodolfo Villarroel	Ryan-Moore	Company
Qianwen Xu	Kanazawa Medical University	University
Sungon Lee	Oneal-Watson	Company
Andrew Graettinger	Harrington-Travis	Company
Danilo Di Cuia	Mcgee PLC	Company
Mohamed Lamine Mekhalfi	Wong-Mcdonald	Company
Stephan Beck	Nicholls State University	University
Radoslaw Przysowa	Mcdonald, Gross and Carlson	Company
Kazuto Nakanishi	Tamil Nadu Veterinary and Animal Sciences University	University
Anton Eliëns	Private Hanseuniversität	University
Natalia Komarova	Maddox-Peters	Company
Trevor Hogan	Robbins, Cook and Gilmore	Company
Patrizio Pelliccione	Instituto Politécnico de Lisboa	University
Baoping Xiong	Rowe PLC	Company
Dong Zhang	Beasley, Holmes and Malone	Company
Femke Ongenae	Medina-Holt	Company
Yongbin Chu	Hall-Gutierrez	Company
Geoffry Laufersky	Henry, Lewis and Espinoza	Company
Yunpeng Ge	Hvanneyri Agricultural University	University
Zhaohui Hu	Universidade Gama Filho	University
Jiann-Ching Guey	Bailey Ltd	Company
Tarek Elsaleh	Maddox-Peters	Company
Rentaro Futagami	Manning-Martin	Company
Filippo Attivissimo	Brown, Wallace and Davis	Company
Andres Kwasinski	Hariri Canadian University	University
Antonio Martí Campoy	University of Italian Studies for Foreigners of Perugia	University
Salvatore Raho	Gibson, Powers and Palmer	Company
Thomas Rapps	Shanghai Institue of Foreign Trade	University
Qingbao Li	Williams PLC	Company
Ao Cheng	Universidad Politécnica de Madrid	University
Yang Liang	Université François Rabelais de Tours	University
Aurélien Palisse	Harding University Graduate School of Religion	University
Xiaowei Fu	Northern Kentucky University	University
Gary Allwood	Dyer, Perkins and Vega	Company
Geetika Arora	Mendoza-Anderson	Company
Elif Uysal	Bennett, Perez and Williams	Company
Yu-Feng Lin	Lewis, Harris and Fernandez	Company
Manuel J. Marín-Jiménez	Brown-Juarez	Company
Chun-Lai Li	Caldwell College	University
Subir Biswas	St. Mary's College of Maryland	University
Ioan Alexandru Ivan	Johnson-Jennings	Company
Hui-Liang Shen	Lewis and Clark College	University
Emily-Clare Thorn	Perez Ltd	Company
Paul Mlyniec	Danish University of Education	University
Ling-Yan Wang	Hall, Adams and Mathews	Company
Luc Van Hoorebeke	West LLC	Company
René de la Barré	Griffin-Nelson	Company
Gonzalo Cerruela García	Rutgers, The State University of New Jersey - Camden	University
Bhawna Goyal	Camacho, Simmons and Orr	Company
Chia-Huang Wu	Ochanomizu Women's University	University
Yun-Soung Kim	Ramirez LLC	Company
James M. Noras	Galloway Inc	Company
Haiyue Zhu	Beck Inc	Company
Di Cao	Horton-Lane	Company
Yasuaki Oishi	Reilly-Williamson	Company
Xiaojia Chen	Shanghai University of Science and Technology	University
Dusan Nemec	Gardner, Stephenson and Dalton	Company
Baptiste Bourreau	Williams and Sons	Company
Koji Tsumura	Michael, Willis and Cline	Company
Xiangjun Quan	Roberts-Curtis	Company
Chiara Pielli	Ecole Superieure Robert de Sorbon	University
David Pinto	Goodman, Robinson and Rose	Company
Muhammad Mostafa Monowar	Jensen Inc	Company
Refik Çaglar Kizilirmak	Gregory-Bryant	Company
Gab-Su Seo	Amherst College	University
Jürgen Wolf	Hood College	University
Lingteng Qiu	Universidade Federal de Lavras	University
Wenhui Zhu	Garcia, Mckee and Weaver	Company
Marco Vagliasindi	Petersen-Young	Company
Ximei Yu	Flores LLC	Company
Shem Kikamaze	Universidad Americana	University
Huidong Fan	Simmons Ltd	Company
Jingcheng Wang	Hendrix College	University
Manoj Stanley	Andhra University	University
Mohammed Hawa	Kent, Brown and Stone	Company
Zhongyu Li	Al-Ahliyya Amman University	University
Carl Petteway	Sirte University	University
Jung-Hyok Kwon	Rangel Inc	Company
Arwa Alromih	Johnson-Williams	Company
Xiongzhi Zhu	Beck-Ryan	Company
George Leu	Taylor LLC	Company
Bart Dierickx	Universidad Autónoma de Manizales	University
Antonio J. García-Loureiro	Harrington-Travis	Company
Laurent Claudon	Williams-Miller	Company
Dongwon Jeong	Kibi International University	University
Luis Torrijos Morán	Jones Inc	Company
Hui Jiang	Toyo University	University
Mattia Morandin	Albany State University	University
Lushun Su	Woods-Smith	Company
Yang Yang 0006	Mclean, Collins and Watson	Company
Dionysis Athanasopoulos	House, Rose and Kelly	Company
Xiaofeng Liu	Montana State University	University
Francisco R. Blanquez	Centre de Formation et de Perfectionnement des Journalistes	University
Jianfeng Hou	Ibaraki University	University
Andrew Marrington	Sanford-Parker	Company
Shafaan Khaliq Bhatti	Cox and Sons	Company
Huan Liu 0002	Armstrong-Ortega	Company
So Yeon Kim	Gonzalez, Stephens and Rivera	Company
Dihui Zeng	Cabrera, Hernandez and Schneider	Company
Fernando Paredes	Mccullough-Black	Company
Santiago Cóbreces	Jones-Flores	Company
Plengchart Prommapan	Warnborough University	University
Bangdao Xu	Thornton, Rodriguez and Williams	Company
Mingwei Xu	Davis, Newton and Jimenez	Company
David Moloney	Camacho, Simmons and Orr	Company
Xinyi Fan	Universidad de Guayaquil	University
Shuo-Jen Lee	Tiffin University Prague	University
Xiao Cheng	Fukushima Medical College	University
José Luis Rojo-Álvarez	Edgewood College	University
James L. Cale	Garcia Inc	Company
Jeffrey Scott Vitter	Hill Group	Company
Winson Chiu-Chun Lee	Lynch, Hobbs and Flowers	Company
Isaac Cho	Grove City College	University
Luca Zarri	Fachhochschule Aachen	University
Médéric Loyez	Barr and Sons	Company
Tommaso Isernia	Université du Havre	University
Xiaofeng Sun	Windsor University School of Medicine	University
Sharmila Tranquebar Girisankar	Avinashilingam Institute for Home Science and Higher Education for Women	University
Zbigniew J. Czech	Gonzalez, Black and Wolf	Company
Zhi-Hao Wu	Gordon PLC	Company
Laura A. Maye	Hernandez LLC	Company
Festus Hategekimana	Morton-Perez	Company
Guan-Ting Li	Lawrence-Lopez	Company
Fernando Sánchez Lasheras	St. George's University	University
Zhipeng Tang	Curtis, Williams and Cook	Company
Maryvonne Miquel	Fachhochschule Pforzheim, Hochschule für Gestaltung, Technik und Wirtschaft	University
HyungKun Park	E.A.P. Europäische Wirtschaftshochschule Berlin	University
Xiaomei Zou	Lopez PLC	Company
Ahmed Abdulqader Hussein	Rajasthan Vidyapeeth University	University
Xinhua Lu	Tennessee Wesleyan College	University
Alexander Gluhak	Institute for Advanced Studies Lucca	University
Zhenan Song	Petersen-Young	Company
Hui Liu 0014	Wilson, Martinez and Saunders	Company
Haiping Yu	Universidad de Vigo	University
Marios Pournaris	Foster-Lawson	Company
Luiz Henrique Silva Colado Barreto	Fundación Universitaria Luis Amigó	University
Fei Liu	Harrington-Travis	Company
José Chilo	Universidade Federal do Piauí	University
Yi-Xian Yang	Elmira College	University
Roberto Arroyo	Brown-Juarez	Company
Andreas Jacobsson	Jackson State University	University
Cesar U. Solis	Cubidor University Switzerland	University
Serge N. Demidenko	Allen, Guzman and Thomas	Company
Leonardo Amet	Tianjin Medical University	University
Goutam Sanyal	University of Osijek	University
Giulia Abate	Nicholson Group	Company
Jean-Pierre Barbot	Brown-Juarez	Company
Chengshi Zheng	Hajvery University Lahore for Women	University
Subbiah Karthick	Virtual University of Pakistan	University
Zhixing Huang	Senzoku Gakuen College	University
Muhammad Asim Ajaz	Chapman LLC	Company
Weizhi Xie	Pädagogische Hochschule Erfurt/Mühlhausen	University
Shuangshuang Cheng	Garcia, Leon and Thompson	Company
Zixiao Zhang	Deutsche Hochschule für Verwaltungswissenschaften Speyer	University
Anthony Alves	Tamil University	University
Emin Kasap	Cole, Allen and White	Company
Julia Elyseeva	Karaganda State Buketov University	University
Woo-Young Choi	Cherry, Summers and Potter	Company
William Bradley Glisson	Christian-Albrechts-Universität Kiel	University
Yang Li 0011	Whitney, Harris and White	Company
Katarzyna Rzeplinska-Rykala	Cunningham, Jones and Porter	Company
Zhicheng Ji	Gillespie LLC	Company
Zhihao Tian	Pan African Christian University College	University
Jae Jin Jeong	Qom University	University
Congo Tak-Shing Ching	Wright Institute	University
Hyuk Lim	Polytechnic Institute of Bari	University
Julián M. Barreiro	Bushehr University of Medical Sciences	University
Yuliang Tang	Mclean, Smith and Fuentes	Company
Jin-Man Sohn	Garrison, Hill and Simmons	Company
Xiangnan Zhong	Hudson LLC	Company
Jewon Lee	European Institute of Education	University
Federico Garcia-Maroto	Cole PLC	Company
J. Vincent Edwards	Harrison-Gibbs	Company
Fernando Garcia-Sanjuan	Technological Education Institute of Kozani	University
Hsueh-Chun Lin	Arkansas State University, Mountain Home	University
Niklas Araback	University of Kurdistan	University
Tatiana Silva de Alencar	Semey State University	University
Anas Shatnawi	Hobbs-Miller	Company
Daniel L. Ewert	Maddox-Peters	Company
Stewart Powell	Stewart Inc	Company
Chinmay Nirkhe	Robles-Bass	Company
Tekin Bicer	Holland-Eaton	Company
David Wilfinger	University of Electronic Science and Technology of China	University
Shan-en Yu	Thomas Group	Company
Mahmoud Barhamgi	Dodson-Cox	Company
Doina Precup	Mendel University of Agriculture and Forestry	University
Paolo Crippa	Nara Women's University	University
Yalu Cao	Cline PLC	Company
Qi Jia	Price, Hernandez and Martin	Company
Santanu Das	Addis Ababa University	University
Alberto Crespo	Moreno, Holt and Lin	Company
Florent Laroche	Burgess, Ramirez and Robinson	Company
Omar Manasreh	Garcia, Mckee and Weaver	Company
Shou-Hung Welkin Ling	Nash-Mckinney	Company
Peter T. C. So	Peterson, Olson and Phillips	Company
Yaoyao Wang	Maine Maritime Academy	University
D. Henry	European Management School	University
Yu Cheng 0004	Clark LLC	Company
Pascal Allain	Hart Group	Company
Yueping Du	Lopez, Rodriguez and Lane	Company
Frederic Challita	Brooks, Davis and Bonilla	Company
Ningqing Qian	Marshall-Murray	Company
Riccardo Monica	University of Trinity College	University
Jean Kyung Paik	Stone, Norris and Castillo	Company
Ivana Randelshofer	Wilson Ltd	Company
Nader Sohrabi Safa	Myers-Meyer	Company
Bhavyansh Mishra	University of New York in Prague	University
Jung-Ho Seo	Wilson LLC	Company
Dieter Gerling	Brown Group	Company
Yazan Aljeroudi	Bailey Ltd	Company
Thomas Kropfreiter	Reid, Reyes and Travis	Company
Seyed Ali Jokar Jandaghi	Art Institute of Charlotte	University
Nandini Singhal	Gilbert, Moore and Archer	Company
Norma B. Lozada-Castillo	Taylor, Patrick and Daugherty	Company
Stéphanie Chollet	Lang, Short and Brooks	Company
Durga Toshniwal	Rodriguez PLC	Company
Mario García-Lozano	Kannur University	University
Juan Manuel Gutiérrez-Salgado	Gibson, Powers and Palmer	Company
Lisheng Wang	Rhode Island College	University
Ensaf Mohammed AL-Khalqi	Southwestern University	University
Mohammad Raihan Mahmud	Greene, Rodriguez and Clark	Company
Sajida Perveen	Martin Inc	Company
Yongqiang Chen	Gulu University	University
Rahmah Mokhtar	Gorno-Altaisk State University	University
Choungki Song	Technical University of Wroclaw	University
Khulood Hussein	National Academy of Fine Arts	University
Jin Jin 0002	University of the Philippines Diliman	University
Kevin Lee	Zimmerman-Decker	Company
Kikuchi Katsuya	Sheridan College	University
Muyiwa B. Balogun	Satakunta University Of Applied Scinces	University
Chanyoung Jeon	DeVry Institute of Technology, DuPage	University
Hussein Karam Hussein Abd El-Sattar	Robbins, Cook and Gilmore	Company
Viliam Malcher	Maynard LLC	Company
Chia-Han Lee	Osaka International University for Women	University
Fuqing Duan	Sweet Briar College	University
Yevgeni Koucheryavy	Samar State University	University
A. Moriyama	Shah-Patton	Company
Zhiheng Wang	Rodriguez-Hernandez	Company
Sung-Bae Cho	Knight-Dunn	Company
R. Long	Zhengzhou University of Technology	University
Yi Li	Smith-Logan	Company
Carla Nave	Davenport, Warner and Cole	Company
Gae-Won You	King-Kelly	Company
Filipe Gaspar	Cameron-Noble	Company
Ebrahim Bedeer	Warren Inc	Company
Ming Cheng 0003	Roberts-Curtis	Company
Jiajun Gao	Antioch University Santa Barbara	University
Seung-Man Chun	Daiichi College of Pharmaceutical Sciences	University
Yaochi Zhao	Assumption University	University
Lidia María Belmonte	Anderson College	University
Paolo Lussu	Glass-Taylor	Company
Diego Martín de Andrés	Osaka University of Health and Sport Sciences	University
Jiang Zhou	Brown LLC	Company
Masoud Allame	Jackson and Sons	Company
Taha Selim Ustun	University College of Nabi Akram	University
Michael L. Rivera	Hemchandracharay North Gujarat University	University
Alkis Simitsis	Wells-Ortiz	Company
Juan Carlos Vasquez	Beppu University	University
Sang-Deok Lee	Anderson-Bennett	Company
Jirí Madera	Foley Ltd	Company
Xiong Zhang	Université Badji Mokhtar	University
Daniele Borio	Simmons, Wilson and Rogers	Company
Tanisha Nourin Alam	Perez, Rice and Patterson	Company
Paramartha Dutta	Brown Group	Company
Lorenzo Luciano	Northern Michigan University	University
Ana Javornik	Zimmerman-Decker	Company
Emeric Kwemou Ngandeu	Roberts-Curtis	Company
Seung-Ho Baeg	Université de Toamasina	University
Chandan Pradhan	Clark-Campbell	Company
Tuomo Hänninen	Rowe PLC	Company
Richa Sharma	Thompson-Lloyd	Company
Trond A. Tjøstheim	Banks, Fitzgerald and Garcia	Company
Russell J. Clark	Spence and Sons	Company
N. Parimala	Simmons LLC	Company
Barbara Loferer	Martin Inc	Company
Irene Eguinoa	Université Amar Telidji	University
Xiaomei Li	Wilson, Martinez and Saunders	Company
Rafael Ávila Ávila	Université d'Alger 3	University
Xiaohui Lin	Ryan-Moore	Company
Chundheng Xin	Curtis, Williams and Cook	Company
Hongxiu Li	Universidad Iberoamericana de Ciencia y Tecnologia	University
Abdelkrim Benali	Russo PLC	Company
Joaquin Vaquero	Assumption University	University
Xinyuan Chen	University of Bradford	University
Jakob Wasserthal	University of Karachi	University
Ping Zhang 0015	North Island College	University
Tobias Boxberger	Holland, Mitchell and Hess	Company
Nizar Jaber	Robertson Group	Company
Atif Saeed	Hogeschool voor de Kunsten Utrecht (HKU)	University
Giuseppe Caso	Wilson, Martinez and Saunders	Company
Md. Nazrul Islam	University of Kurdistan	University
Ji-Hyun Lee	Morgan, Chen and Smith	Company
Young Ho Park 0003	Troy University, Troy	University
Naoyuki Miyamoto	Braun, Reid and Hall	Company
Yung Jean Lu	Roberts-Curtis	Company
Seeven Amic	Pennsylvania Academy of the Fine Arts	University
Per Bendik Wik	Koch-Cole	Company
Félix Gontier	Lebanese American University	University
Juan C. Elizondo-Leal	Romero PLC	Company
Bruno Jahan	University of Maryland Eastern Shore	University
Bidyadhar Subudhi	Benjamin, Brennan and Harris	Company
Syed Abdul Rahman Al-Haddad	Ross University Caribbean School of Veterinary Medicine	University
Shaorong Wang	University of Peradeniya	University
Antonio Bandera	Garcia Inc	Company
Lena Wosinska	Universitas 17 Agustus 1945 Cirebon	University
Pankaj Kumar Dalela	Campbell, Flores and Ellison	Company
